SKU,Product_Name,Parent,Category,Sub_Category,Phone_Model,Base_units_per_mo,ASP,Oct_units,Oct_gross_rev,Nov_units,Nov_gross_rev,COGS,Oct_COGS_value,Oct_margin,Oct_margin_%,Mapped,Sold_in_Sep_HPS,In_inventory_7Sep,In_team_plan,event_dependent,lifecycle
SLAT-STCK-PHN-WLET-STND,Slate Stack Phone Wallet Stand,Stack Wallet,Accessories,Phone Wallets,,196.0,2974.5102040816328,150,445748.6394473581,146,433840.5140665861,,,,,True,True,True,True,True,Continue (active Jul/Aug26)
SRG-FLDWY-3-1-QI2-2-WIRLES-CHRGR-ORNG,SURGE Foldaway 3-In-1 Qi2.2-Certified Magsafe-Compatible Wireless Charger - Cosmic Orange,Foldaway 3-in-1,Accessories,Wireless Charger,,76.0,7506.894736842105,59,436206.7786362778,57,424553.5630069861,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
BLK-LOP-UNVRSAL-PWR-BNK-10000MH,Loop Universal Aluminium Power Bank 10000 mAh - Black,Loop 10MaH Universal,Accessories,Wireless Charger,,182.5,2999.0,140,418463.7343324049,136,407284.5221604632,1097.0,153580.0,264883.7343324049,63.299089646319416,True,True,True,True,False,Continue (active Jul/Aug26)
CRBN-STCK-PHN-AP-IPH17PRO,Carbon Stack Phone Case Cover for iPhone 17 Pro,Stack Plain,Cases And Sleeves,Designer Cases,iPhone 17 Pro,190.5,1681.9396325459318,246,412790.99344678456,205,343300.29860475287,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
ELCTRC-BLUE-PRK-TECH-KIT,Electric Blue Park Tech Kit,Park Tech Kit,Home Office,Organisers,,157.0,2999.0,138,412289.16671148856,149,443957.8268034364,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
BLK-WING-TOTE,Black Wing Tote,Wing Tote,Bags and Backpacks,Tote Bags,,206.5,1937.2566585956415,208,402501.8833652973,227,438926.20398177294,,,,,True,True,True,True,True,Continue (active Jul/Aug26)
BSLT-PVT-MRDAN-CNVRTBL-BREFCASE,Pivot Meridian Convertible Briefpack - Basalt,Pivot Meridian,Bags and Backpacks,Messenger Bags,,59.0,6778.661016949152,60,402398.75347306073,65,438813.7413723114,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
ALL-IVORY-PEDAL-DAYPACK,Ivory Pedal Daypack,Pedal Daypack,Bags and Backpacks,Backpacks,,279.5,1418.4096601073345,282,398881.77261147095,307,434978.49209062505,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
SLATE-PRK-TECH-KIT,Slate Park Tech Kit,Park Tech Kit,Home Office,Organisers,,151.5,2999.0,133,397845.9156483472,143,428405.16408102296,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
ARET-LAPTOP-STND-IVRY,Arete Laptop Stand - Ivory,Arete,Home Office,Desks,,169.0,2676.810650887574,148,396123.0931034547,160,426550.0084893804,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
SRG-FLDWAY-3IN1-QI2-WIRLES-CHRGER,,Foldaway 3-in-1,Accessories,Accessories,,75.5,6833.437086092716,58,394461.5198738919,57,383923.5241945962,,,,,True,False,True,True,False,Continue (active Jul/Aug26)
IVORT-NVY-CMUTE-MSG-LARGE,Ivory - Navy Commute Messenger Bag - Large,Commute Messenger,Bags and Backpacks,Messenger Bags,,110.5,3465.063348416289,112,385242.4670586999,122,420104.9005407638,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
SCRLT-WING-CITY-TOTE,Scarlet Wing City Tote,Wing Tote,Bags and Backpacks,Tote Bags,,162.5,2343.0,164,383077.2423943768,179,417743.7343401662,,,,,True,True,True,True,True,Continue (active Jul/Aug26)
BLUE-RPSTP-VULT-TECH-ORGNISER-MED,Blue Ripstop Vault Tech Organiser - Medium,Vault Tech kit,Home Office,Organisers,,211.0,1920.3270142180093,185,354799.8699580568,199,382052.6754877052,,,,,True,True,True,True,True,Continue (active Jul/Aug26)
NDE-2IN1-WIRLES-CRGNG-DOK-LMP-PHNSTND,Node 2-in-1 Wireless Charging Ecosystem,Node Charger,Accessories,Wireless Charger,,33.0,13997.0,26,353156.654687402,25,343722.11389264936,,,,,True,True,False,False,False,Continue (active Jul/Aug26)
CPSUL-GDGET-CLNING-KIT,DailyObjects Capsule Gadget Cleaning Kit,Cleaning Kit,Accessories,Cleaning Kit,,587.0,786.1379897785349,449,352821.7720723977,437,343396.1776294999,162.0,72738.0,280083.7720723977,79.38392532502942,True,True,True,True,True,Continue (active Jul/Aug26)
SLAT-STCK-PHN-AP-IPH17PROMAX,Slate Stack Phone Case Cover for iPhone 17 Pro Max,Stack Plain,Cases And Sleeves,Designer Cases,iPhone 17 Pro Max,163.0,1679.0613496932515,210,352597.3125749084,175,293239.8347247476,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
BLK-RPSTP-AGIS-TECH-ORGNISER-SML,Black Ripstop Vault Tech Organiser - Small,Vault Tech kit,Home Office,Organisers,,273.5,1465.54478976234,240,350979.8885846928,258,377939.2745888281,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
SPCE-BLUE-STRA-SLEVE-MED,Space Blue Stria Laptop Sleeve - Medium,Stria Laptop Sleeve,Cases And Sleeves,Laptop Bags and Sleeves,,185.5,1449.9433962264152,239,346513.20624674886,199,288179.9483600769,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
SRG-3IN1-QI2-WIRLES-CHRGER,,Surge 3-in-1,Accessories,Accessories,,72.5,6192.103448275862,56,343237.4775053067,54,334067.92642696673,,,,,True,False,True,True,False,Continue (active Jul/Aug26)
INDGO-STCK-PHN-AP-IPH17PROMAX,Indigo Stack Phone Case Cover for iPhone 17 Pro Max,Stack Plain,Cases And Sleeves,Designer Cases,iPhone 17 Pro Max,157.5,1688.2063492063492,203,342555.477365837,169,284888.4775475267,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
CRBN-STCK-PHN-AP-IPH17,Carbon Stack Phone Case Cover for iPhone 17,Stack Plain,Cases And Sleeves,Designer Cases,iPhone 17,174.0,1476.2988505747126,225,330939.3112021842,187,275227.81785307394,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
MNDRIN-LOFT-CHRNG-STATION-65W,Mandarin Loft Charging Station 65W,LOFT Charging Station,Accessories,Wireless Charger,,86.0,4999.0,66,328700.2843537463,64,319919.0927753879,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
DESK-TRIO-BUNDLE,Desk Trio Bundle - Limited Edition (Tan),Desk Trio Bundle,Home Office,Desks,,187.0,1973.331550802139,164,323122.7017831985,177,347942.3279993893,,,,,True,True,False,True,True,Continue (active Jul/Aug26)
BSLT-PVT-LUNAR-DAYPACK,Pivot Lunar Daypack - Basalt,Pivot Lunar Daypack,Bags and Backpacks,Backpacks,,82.0,3849.609756097561,83,317607.87143937266,90,346349.7268634993,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
CLY-LOFT-CHRNG-STATION-65W,Clay Loft Charging Station 65W,LOFT Charging Station,Accessories,Wireless Charger,,81.5,4999.0,63,311500.85087012005,61,303179.1402464432,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
BSLT-PVT-ORBT-FNNY,Basalt Pivot Orbit Fanny,Pivot Orbit Fanny,Bags and Backpacks,Crossbody Bags,,167.5,1834.820895522388,169,309221.1473736362,184,337204.0480228481,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
NIMBS-MAGSAF-2-0-PHN-AP-IPH16PRO,,Nimbus MagSafe,Cases And Sleeves,Cases And Sleeves,iPhone 16,245.5,972.9307535641548,317,307721.7945917178,264,255918.8200508691,329.0,104293.0,203428.79459171777,66.10802295028374,True,False,True,True,False,Continue (active Jul/Aug26)
ARET-LAPTOP-STND-BLK,Arete Laptop Stand - (Black),Arete,Home Office,Desks,,130.0,2699.0,114,307235.95747215097,123,330835.2947596581,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
FORST-GRN-PEDAL-DAYPACK,Forest Green Pedal Daypack,Pedal Daypack,Bags and Backpacks,Backpacks,,212.5,1433.235294117647,214,306434.1249200234,234,334164.8145769116,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
SPCE-BLUE-IDYL-DOB-TOTE-BAG,Space Blue Idyll Tote,Idyll Tote,Bags and Backpacks,Tote Bags,,99.0,3046.979797979798,100,303504.73290785955,109,330970.3278701086,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
NVYBLUE-GRY-LTHR-MGSAF-AP-IPH17PRO,Navy Blue-Grey Leatherite MagSafe Phone Case Cover for iPhone 17 Pro,Leatherite,Cases And Sleeves,Designer Cases,iPhone 17 Pro,138.0,1694.6521739130435,178,301289.84099863435,148,250569.6442593141,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
BLUE-LOP-UNVRSAL-PWR-BNK-10000MH,Loop Universal Aluminium Power Bank 10000 mAh - Space Blue,Loop 10MaH Universal,Accessories,Wireless Charger,,131.0,2999.0,101,300376.70793175366,98,292352.1775507983,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
CRNL-LVE-IDYL-DOB-TOTE-BAG,Cardinal Love Idyll Tote Bag,Idyll Tote,Bags and Backpacks,Tote Bags,,94.0,3146.340425531915,95,297573.5064226437,104,324502.3563308321,,,,,True,True,True,True,True,Continue (active Jul/Aug26)
CHRCOL-LOFT-CHRNG-STATION-65W,,LOFT Charging Station,Accessories,Accessories,,76.5,4999.0,59,292390.3692216464,57,284579.1929920602,,,,,True,False,True,True,False,Continue (active Jul/Aug26)
BSLT-PVT-AMBT-MSG-BAG,Pivot Ambit Messenger - Basalt,Pivot Ambit,Bags and Backpacks,Messenger Bags,,56.5,5118.469026548672,57,290970.6779562775,62,317302.0063348182,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
NIMBS-MAGSAF-2-0-PHN-AP-IPH16PROMAX,Nimbus MagSafe 2.0 Phone Case Cover For iPhone 16 Pro Max,Nimbus MagSafe,Cases And Sleeves,Designer Cases,iPhone 16 Pro Max,228.5,985.652078774617,295,290158.0843594681,245,241311.84687785583,329.0,97055.0,193103.08435946808,66.55099229295935,True,True,True,True,False,Continue (active Jul/Aug26)
INDGO-STCK-SGNTUR-PHN-AP-IPH17PRO,Indigo Stack Signature Phone Case Cover for iPhone 17 Pro,Stack Signature,Cases And Sleeves,Designer Cases,iPhone 17 Pro,115.5,1879.5194805194808,149,279674.9984532247,124,232593.52070542064,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
CNID-MAGSAF-QI2-2-WIRLES-CHRGR-ORNG,SURGE Conoid Qi2.2-Certified Magsafe-Compatible  Wireless Charger - Cosmic Orange,Conoid,Accessories,Wireless Charger,,84.5,4309.650887573965,65,278430.81035235926,63,270992.5621870782,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
CRBN-BLK-STRA-SLEVE-LARGE,Carbon Black Stria Laptop Sleeve - Large,Stria Laptop Sleeve,Cases And Sleeves,Laptop Bags and Sleeves,,137.5,1558.2727272727273,178,276039.3503731683,148,229569.9104733189,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
SLAT-STCK-PHN-AP-IPH17,Slate Stack Phone Case Cover for iPhone 17,Stack Plain,Cases And Sleeves,Designer Cases,iPhone 17,144.0,1477.4722222222222,186,274098.4914672133,155,227955.78261553668,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
SLAT-STCK-SGNTUR-PHN-AP-IPH17PROMAX,Slate Stack Signature Phone Case Cover for iPhone 17 Pro Max,Stack Signature,Cases And Sleeves,Designer Cases,iPhone 17 Pro Max,112.0,1879.357142857143,145,271176.57444185263,121,225525.75142970865,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
BLK-BEGE-LTHR-MGSAF-AP-IPH17PRO,Black-Beige Leatherite MagSafe Phone Case Cover for iPhone 17 Pro,Leatherite,Cases And Sleeves,Designer Cases,iPhone 17 Pro,121.5,1721.2222222222222,157,269425.0990468007,131,224069.1255932301,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
STRD-2-0-CLR-MEGSAF-AP-IPH17PROMAX,DailyObjects Stride 2.0 Clear MagSafe Phone Case Cover For iPhone 17 Pro Max,Stride 2.0,Cases And Sleeves,Designer Cases,iPhone 17 Pro Max,217.0,962.1336405529954,280,268979.98338001844,233,223698.9422710504,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
WALNT-ELPS-LTHR-AP-WATCHBND-42,Walnut Ellipse Leather Apple Watch Band (42/44/45/46/49mm),Watchband - Ellipse Leather,Accessories,Watch Straps,,118.0,2980.35593220339,91,268886.27353864774,88,261703.00661396,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
SLAT-STCK-SGNTUR-PHN-AP-IPH17PRO,Slate Stack Signature Phone Case Cover for iPhone 17 Pro,Stack Signature,Cases And Sleeves,Designer Cases,iPhone 17 Pro,109.5,1876.1689497716893,142,264673.763072581,118,220117.646310455,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
CLR-DOB-SS-ZFLD5,Clear Case For Samsung Galaxy Z Fold 5,Clear Case,Cases And Sleeves,Designer Cases,Galaxy Z Fold 5,240.0,846.7083333333334,310,261800.15816734865,258,217727.79421169416,466.0,144460.0,117340.15816734865,44.82050698087895,True,True,True,True,False,Continue (active Jul/Aug26)
INDGO-STCK-PHN-AP-IPH17,Indigo Stack Phone Case Cover for iPhone 17,Stack Plain,Cases And Sleeves,Designer Cases,iPhone 17,137.5,1473.1818181818182,178,260965.968893133,148,217034.0353083328,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
IVORT-NVY-CMUTE-MSG-MED,Ivory - Navy Commute Messenger Bag - Medium,Commute Messenger,Bags and Backpacks,Messenger Bags,,79.0,3253.430379746836,80,258600.46861011884,87,282002.4619162647,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
CRNL-LVE-STRA-SLEVE-MED,Cardinal Love Stria Laptop Sleeve - Medium,Stria Laptop Sleeve,Cases And Sleeves,Laptop Bags and Sleeves,,122.5,1620.6326530612246,158,255767.58476732596,132,212710.76553989528,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
CRBN-STCK-FLX-STND,Carbon Stack Flex Stand,Stack Stand,Home Office,Stands,,296.5,973.451939291737,260,252734.7836841301,280,272147.78941926634,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
FLMNGO-STCK-CLR-AP-IPH17PROMAX,Flamingo Stack Clear Phone Case Cover for iPhone 17 Pro Max,Stack Clear,Cases And Sleeves,Designer Cases,iPhone 17 Pro Max,109.0,1799.0,141,252628.58528218867,117,210100.19632284495,,,,,True,True,True,False,False,Continue (active Jul/Aug26)
CLVE-MRCH-CROSSBODY-BAG-LARG,Clove March Crossbody Bag Large,March Crossbody,Bags and Backpacks,Crossbody Bags,,132.0,1895.969696969697,133,251805.96946598616,145,274593.0960460809,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
MANDARIN-PRK-TECH-KIT,Tangerine Park Tech Kit,Park Tech Kit,Home Office,Organisers,,95.5,2999.0,84,250787.35936909015,91,270050.77999826864,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
NDE-2IN1-WRLES-CRNG-DOK-PNSTND-WTH-STND,Node 2-in-1 Wireless Charging Ecosystem,Node Charger,Accessories,Wireless Charger,,26.0,12497.0,20,248426.3219918122,20,241789.6403996255,,,,,True,True,False,False,False,Continue (active Jul/Aug26)
STRD-2-0-CLR-MEGSAF-AP-IPH17PRO,DailyObjects Stride 2.0 Clear MagSafe Phone Case Cover For iPhone 17 Pro,Stride 2.0,Cases And Sleeves,Designer Cases,iPhone 17 Pro,199.5,964.9147869674184,258,248002.8608203026,214,206253.18266644477,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
CRBN-STCK-PHN-AP-IPH17PROMAX,Carbon Stack Phone Case Cover for iPhone 17 Pro Max,Stack Plain,Cases And Sleeves,Designer Cases,iPhone 17 Pro Max,114.5,1678.9126637554584,148,247661.45517139585,123,205969.2504511694,,,,,True,True,True,True,False,Continue (active Jul/Aug26)
