parent,cat,m_oct_u,m_nov_u,m_oct_rev,m_nov_rev,base_u,base_g,child,event,hps_g,t_oct_u,t_nov_u,t_oct_rev,t_nov_rev,t_skus,d_oct_u,d_nov_u,rank_val
Onboarding Kits,Gifts,46.0,24.0,154440.5827090809,73481.59452954204,28.5,101571.5,7.0,0.0,8298.0,0.0,0.0,0.0,0.0,0.0,46.0,24.0,154440.5827090809
Felt Desk Mat,Home Office,134.0,144.0,92093.73088385595,99167.61323498026,152.0,105173.0,2.0,0.0,225624.0,221.4368658369712,210.36502254512266,152834.02636649995,145192.32504817494,2.0,-87.43686583697121,-66.36502254512266,152834.02636649995
SkinnyFit,Wallet and Pouches,102.0,97.0,40944.32012119669,39304.21122393713,191.0,80784.0,9.0,0.0,6032.0,326.1542456252986,309.8465333440337,147460.10031867606,140087.09530274227,12.0,-224.15424562529859,-212.84653334403367,147460.10031867606
Beam,Cases And Sleeves,180.0,151.0,144907.37311287806,120513.15374954892,137.5,112477.5,9.0,3.0,228773.0,0.0,0.0,0.0,0.0,0.0,180.0,151.0,144907.37311287806
Fliptop,Wallet and Pouches,88.0,84.0,59646.85880004669,57257.581275790115,165.5,117684.5,7.0,0.0,47629.0,196.65766956584605,186.82478608755375,141289.78591509716,134225.2966193423,7.0,-108.65766956584605,-102.82478608755375,141289.78591509716
Pivot Messenger,Bags and Backpacks,36.0,39.0,130765.68492010892,142599.29720867626,33.0,129967.0,5.0,1.0,98970.0,36.24945069875777,34.43697816381987,139443.4725255102,132471.29889923468,5.0,-0.24945069875776937,4.563021836180127,139443.4725255102
Caddy Crossbody,Bags and Backpacks,69.0,73.0,77257.87224661247,84249.30663526445,64.0,76786.0,7.0,3.0,245293.0,124.80524650621119,118.56498418090061,131685.56853812435,125101.29011121813,7.0,-55.80524650621119,-45.56498418090061,131685.56853812435
Bi-Fold,Wallet and Pouches,28.0,26.0,32920.58359120727,31601.881952223066,47.0,64953.0,8.0,3.0,95853.0,99.32065217391305,94.35461956521739,127733.22770007701,121346.56631507314,8.0,-71.32065217391305,-68.35461956521739,127733.22770007701
Hybrid Clear,Cases And Sleeves,167.0,140.0,127122.71545124153,105722.42821834802,127.0,98673.0,7.0,0.0,8091.0,0.0,0.0,0.0,0.0,0.0,167.0,140.0,127122.71545124153
BRTHDY-MYSTRY-GIFT,Accessories,98.0,95.0,126630.35594416173,123247.44005357278,127.5,165622.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,95.0,126630.35594416173
Oblong,Home Office,320.0,344.0,125116.3205785249,134726.72644962845,364.5,142885.5,2.0,0.0,280862.0,0.0,0.0,0.0,0.0,2.0,320.0,344.0,125116.3205785249
SURP-GIFT-BDAY,Accessories,248.0,241.0,123422.21107530814,120125.00041847012,323.5,161426.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,241.0,123422.21107530814
Blaze Daypack,Bags and Backpacks,50.0,55.0,107759.16671638636,117510.80913113663,49.0,107101.0,2.0,0.0,0.0,55.540211419015776,52.76320084806499,118210.43615701323,112299.91434916257,2.0,-5.540211419015776,2.23679915193501,118210.43615701323
Air Skin Slim,Cases And Sleeves,104.0,88.0,71530.28090038645,59488.62059062883,78.0,55522.0,10.0,0.0,21768.0,126.61529576659039,120.28453097826088,117420.56533724256,111549.53707038044,11.0,-22.615295766590393,-32.284530978260875,117420.56533724256
Ripstop Passport Wallet,Travel,48.0,53.0,69408.56224301897,76938.72831869728,68.5,99831.5,1.0,0.0,11988.0,84.2153741638796,80.00460545568562,117365.17245167818,111496.91382909426,1.0,-36.2153741638796,-27.00460545568562,117365.17245167818
Savanna Sleeve,Cases And Sleeves,21.0,19.0,17729.259763889415,14744.653511363758,13.5,13761.5,8.0,7.0,205235.0,85.25059548547681,80.98806571120296,115425.59723042593,109654.31736890465,12.0,-64.25059548547681,-61.988065711202964,115425.59723042593
PUFT Crossbody,Bags and Backpacks,37.0,38.0,71303.50441972408,77756.09958362099,32.0,70868.0,6.0,6.0,475846.0,52.03637098861284,49.43455243918219,113529.8038340019,107853.31364230179,6.0,-15.036370988612838,-11.434552439182191,113529.8038340019
DO RE Phone Bag,Accessories,10.0,10.0,14899.218078968011,14501.187123271133,13.0,19487.0,1.0,0.0,1499.0,75.28922748447206,71.52476611024846,111508.96363916928,105933.51545721081,1.0,-65.28922748447206,-61.524766110248464,111508.96363916928
Cable Wrap,Home Office,268.0,289.0,98703.50266536628,106285.09327742699,303.5,112721.5,5.0,2.0,396632.0,179.80134207825043,170.8112749743379,108109.65631671292,102704.17350087727,6.0,88.19865792174957,118.18872502566211,108109.65631671292
Kiyo,Home Office,61.0,66.0,54622.88780771088,58818.56842920413,69.5,62380.5,1.0,1.0,205506.0,153.8688892347557,146.17544477301792,107554.35357509424,102176.63589633952,1.0,-92.8688892347557,-80.17544477301792,107554.35357509424
Watchband - Velour,Accessories,67.0,65.0,78306.71814182916,76214.76286643946,81.0,102419.0,10.0,6.0,2684014.0,87.82376086956523,83.43257282608697,107174.29650000001,101815.58167500001,20.0,-20.823760869565234,-18.432572826086968,107174.29650000001
Stride Clear,Cases And Sleeves,140.0,117.0,106858.03562301796,88869.1762176943,106.5,82943.5,6.0,0.0,95422.0,0.0,0.0,0.0,0.0,0.0,140.0,117.0,106858.03562301796
Women's Classic Wallet,Wallet and Pouches,39.0,36.0,42386.271383139705,40688.40216437213,71.0,83629.0,4.0,1.0,133433.0,91.57393513925048,86.99523838228795,106451.19933905682,101128.63937210396,4.0,-52.57393513925048,-50.99523838228795,106451.19933905682
Pivot Carrypack,Bags and Backpacks,15.0,15.0,59350.4983731823,64721.40884797984,12.0,58988.0,5.0,1.0,45487.0,25.840062111801245,24.548059006211183,103544.73447204969,98367.4977484472,5.0,-10.840062111801245,-9.548059006211183,103544.73447204969
Tray,Home Office,43.0,47.0,67819.22689935181,73028.54166623046,49.0,77451.0,1.0,0.0,117502.0,68.7208621541502,65.28481904644268,102988.2108234375,97838.80028226561,1.0,-25.720862154150197,-18.284819046442678,102988.2108234375
City Tote,Bags and Backpacks,85.0,89.0,72339.33099589536,78885.6630610909,77.5,71897.5,11.0,1.0,92069.0,114.85533008312021,109.1125635789642,102964.90543758645,97816.66016570713,11.0,-29.855330083120208,-20.1125635789642,102964.90543758645
Armour,Cases And Sleeves,98.0,80.0,101750.47828305214,84621.44313294324,71.0,78979.0,9.0,1.0,178642.0,0.0,0.0,0.0,0.0,0.0,98.0,80.0,101750.47828305214
Pulse Card Wallet,Wallet and Pouches,65.0,62.0,50620.3452676832,48592.64329558725,125.0,99875.0,2.0,0.0,10485.0,121.17352621080184,115.11484990026173,99642.75064903902,94660.61311658708,2.0,-56.17352621080184,-53.11484990026173,99642.75064903902
Cable Protector,Home Office,222.0,239.0,66108.66332047117,71186.58667346108,252.5,75497.5,1.0,1.0,272226.0,332.9345937945005,316.28786410477545,98215.70516937764,93304.91991090876,1.0,-110.93459379450047,-77.28786410477545,98215.70516937764
Watchband - Folio,Accessories,32.0,31.0,31526.369285583565,30684.145832655708,41.0,41234.0,3.0,1.0,72281.0,99.53507678689064,94.5583229475461,97846.66867785329,92954.33524396061,3.0,-67.53507678689064,-63.5583229475461,97846.66867785329
Pivot Workpack,Bags and Backpacks,26.0,26.0,92342.50550863078,100699.02051187221,21.5,91778.5,5.0,0.0,23494.0,13.15414402173913,12.496436820652173,50397.95224340062,47878.05463123059,5.0,12.84585597826087,13.503563179347827,92342.50550863078
Watch Screen Protector,Accessories,151.0,147.0,57305.831777378306,55774.91284804516,193.5,74951.5,6.0,4.0,268004.0,208.3100630668115,197.8945599134709,87304.59361188074,82939.3639312867,6.0,-57.310063066811495,-50.894559913470914,87304.59361188074
Fanny Pack,Bags and Backpacks,40.0,43.0,58820.25980529279,64143.186455918985,39.0,58461.0,2.0,0.0,2798.0,57.35266886645964,54.485035423136644,85626.05651348992,81344.75368781542,2.0,-17.352668866459638,-11.485035423136644,85626.05651348992
Coaster Set,Home Office,127.0,136.0,84110.9549090081,90571.66611873658,143.5,96056.5,2.0,0.0,194810.0,113.2521743539995,107.58956563629951,75139.13120712085,71382.1746467648,2.0,13.747825646000507,28.41043436370049,84110.9549090081
FELT-DESK-TRIO-BUNDLE,Home Office,46.0,50.0,63919.562246910085,68829.33687467764,52.5,72997.5,1.0,0.0,93733.0,60.407291078486736,57.3869265245624,82752.17309518966,78614.56444043017,1.0,-14.407291078486736,-7.386926524562398,82752.17309518966
Convoy Adapter,Home Office,87.0,94.0,80039.6647323992,86187.65294295913,93.0,91407.0,10.0,4.0,207584.0,83.26117155223294,79.09811297462129,82231.95366078314,78120.35597774398,10.0,3.7388284477670624,14.901887025378713,82231.95366078314
PUFT Bucket Sling,Accessories,33.0,31.0,75814.97740598698,73789.58870752632,40.0,99160.0,4.0,4.0,488510.0,33.93035520186336,32.233837441770184,81110.53355520187,77055.00687744176,4.0,-0.9303552018633567,-1.2338374417701843,81110.53355520187
Watchband - Rim Snap On,Accessories,59.0,57.0,77624.33747084445,75550.61191926857,73.5,101526.5,5.0,3.0,724302.0,0.0,0.0,0.0,0.0,0.0,59.0,57.0,77624.33747084445
Zip-Around,Wallet and Pouches,30.0,30.0,34182.86113703121,32813.59637653005,56.5,67443.5,4.0,0.0,19975.0,60.41413591523566,57.39342911947388,74246.34066899719,70534.02363554733,4.0,-30.41413591523566,-27.39342911947388,74246.34066899719
Wrap Card Wallet,Wallet and Pouches,27.0,26.0,44297.553706087725,42523.12414552516,50.0,87400.0,3.0,0.0,128294.0,41.37424460050819,39.30553237048278,70987.99092066483,67438.5913746316,3.0,-14.374244600508192,-13.30553237048278,70987.99092066483
Klamp,Home Office,89.0,96.0,69108.60743167928,74416.96179771391,101.5,78923.5,1.0,0.0,81396.0,76.8974025974026,73.05253246753247,60672.050649350655,57638.44811688312,1.0,12.102597402597397,22.947467532467527,69108.60743167928
BAR-DESK-COMBO-1,Home Office,18.0,19.0,68282.87850673204,73527.80717361279,19.5,77980.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,68282.87850673204
SMOTH-OPRTOR-GFT-BUNDLE,Gifts,16.0,8.0,65366.7677514203,31100.985501100327,10.0,42990.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,65366.7677514203
Loop Tie-up,Home Office,71.0,77.0,34341.74200159686,36979.59194339509,81.0,39219.0,1.0,1.0,187912.0,131.48763170391683,124.91325011872098,65086.37769343883,61832.05880876689,1.0,-60.48763170391683,-47.91325011872098,65086.37769343883
BAR-DESK-COMBO-9,Home Office,16.0,17.0,63030.34939082958,67871.8220064118,18.0,71982.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.0,63030.34939082958
BAR-DESK-COMBO-6,Home Office,16.0,17.0,63030.34939082958,67871.8220064118,18.0,71982.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.0,63030.34939082958
Ray Tote,Bags and Backpacks,11.0,11.0,16290.49839221867,17764.703510165484,9.0,16191.0,2.0,0.0,0.0,35.938739809782604,34.141802819293474,61289.5196861413,58225.043701834235,2.0,-24.938739809782604,-23.141802819293474,61289.5196861413
Pivot Daypack,Bags and Backpacks,23.0,23.0,58487.72878691046,63780.56311516736,19.5,58130.5,5.0,0.0,62374.0,17.606922554347825,16.726576426630434,51150.779233695655,48593.240272010866,5.0,5.393077445652175,6.273423573369566,58487.72878691046
Wing Backpack,Bags and Backpacks,18.0,19.0,58188.40056310186,63454.14724868139,17.0,57833.0,1.0,0.0,97964.0,17.432268249752966,16.560654837265318,52034.82945249829,49433.08797987338,1.0,0.5677317502470345,2.439345162734682,58188.40056310186
Notebook 1.0,Home Office,59.0,64.0,57297.0936791731,61698.184783397985,65.5,65434.5,4.0,1.0,132379.0,0.0,0.0,0.0,0.0,1.0,59.0,64.0,57297.0936791731
PUFT Pouch,Wallet and Pouches,28.0,27.0,46222.774046506194,44371.225828211405,51.5,91198.5,4.0,2.0,311688.0,33.74943025362319,32.06195874094203,55998.56892818955,53198.64048178007,4.0,-5.7494302536231885,-5.061958740942032,55998.56892818955
Buoy Tote Bag,Bags and Backpacks,20.0,22.0,44653.23104785749,48694.11550447157,19.5,44380.5,1.0,1.0,190694.0,25.2854522515528,24.02117963897516,55357.207210149914,52589.34684964241,1.0,-5.285452251552801,-2.021179638975159,55357.207210149914
Black Hybrid Clear,Cases And Sleeves,99.0,89.0,54697.049924476916,45489.15521407258,69.0,42456.0,24.0,1.0,24089.0,0.0,0.0,0.0,0.0,0.0,99.0,89.0,54697.049924476916
DOB-GIFT-CRD-3000,Gifts,18.0,9.0,52457.6293887881,24958.92067429545,11.5,34500.0,1.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,52457.6293887881
Coin Wallet,Home Office,41.0,43.0,20342.002815959015,21904.50803021523,44.0,23231.0,5.0,2.0,75946.0,116.67558467380087,110.84180544011082,52249.81902635945,49637.32807504148,5.0,-75.67558467380087,-67.84180544011082,52249.81902635945
Leather AirPods Cover,Cases And Sleeves,85.0,72.0,47010.2695312606,39096.39460109057,60.5,36489.5,14.0,7.0,159144.0,70.79541032608695,67.25563980978261,50577.84523442935,48048.95297270788,25.0,14.204589673913048,4.744360190217392,50577.84523442935
Camera Lens,Accessories,47.0,46.0,20081.488317549894,19545.013588172435,55.0,26265.0,10.0,4.0,69317.0,97.70140453296705,92.81633430631868,48638.77847811157,46206.83955420598,12.0,-50.70140453296705,-46.81633430631868,48638.77847811157
L-Zip Wallet,Wallet and Pouches,11.0,10.0,12257.09256351456,11766.109528298715,16.5,24183.5,4.0,1.0,39567.0,35.55741944875776,33.779548476319874,47137.58579398777,44780.70650428838,4.0,-24.557419448757763,-23.779548476319874,47137.58579398777
Pivot Expandable Crossbody,Bags and Backpacks,20.0,21.0,15829.68384934694,17262.18765520558,17.0,15733.0,5.0,2.0,42702.0,37.0086277173913,35.15819633152174,46304.25137201086,43989.03880341032,15.0,-17.0086277173913,-14.158196331521737,46304.25137201086
Notebook 2.0,Home Office,48.0,52.0,45487.769027740476,48981.76501888083,52.0,51948.0,4.0,0.0,54613.0,0.0,0.0,0.0,0.0,2.0,48.0,52.0,45487.769027740476
RE DO Notebook,Home Office,36.0,39.0,42520.66143263578,45786.74864160977,40.5,48559.5,1.0,1.0,177347.0,36.78204485364812,34.94294261096571,44296.599101988984,42081.76914688953,1.0,-0.7820448536481166,4.057057389034291,44296.599101988984
Watchband - Nylon,Accessories,29.0,28.0,42978.5136893308,41830.34747097441,37.5,56212.5,1.0,0.0,59080.0,0.0,0.0,0.0,0.0,0.0,29.0,28.0,42978.5136893308
Pivot Sling,Accessories,14.0,13.0,21588.077798978873,21011.354698985066,14.5,28235.5,5.0,0.0,2798.0,20.191304347826087,19.181739130434785,39483.487809782615,37509.31341929348,5.0,-6.191304347826087,-6.181739130434785,39483.487809782615
Joules Crossbody,Bags and Backpacks,17.0,18.0,23980.46684455189,26150.5739893326,16.0,23834.0,1.0,0.0,46469.0,25.979653532608697,24.68067085597826,38412.51982659647,36491.893835266645,1.0,-8.979653532608697,-6.68067085597826,38412.51982659647
DOB-GIFT-CRD-5000,Gifts,8.0,4.0,38012.77491941167,18086.174401663367,5.0,25000.0,1.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,38012.77491941167
Vessel Tote,Bags and Backpacks,24.0,25.0,37759.123520003595,41176.12721149067,21.5,37528.5,3.0,1.0,74732.0,18.752673913043477,17.815040217391303,32610.964294565216,30980.416079836956,3.0,5.247326086956523,7.184959782608697,37759.123520003595
Zipper Slim Card & Coin Wallet,Wallet and Pouches,18.0,16.0,11553.856227505443,11091.042769123473,29.0,22796.0,4.0,3.0,87625.0,48.25738014363354,45.844511136451864,37507.689561945605,35632.30508384832,4.0,-30.25738014363354,-29.844511136451864,37507.689561945605
Reflective,Bags and Backpacks,26.0,28.0,37504.06568895997,40897.98797735893,25.0,37275.0,1.0,0.0,67455.0,22.18074168797954,21.071704603580564,32326.893145473146,30710.54848819949,1.0,3.819258312020459,6.928295396419436,37504.06568895997
Airtag,Cases And Sleeves,82.0,69.0,37086.3158953023,30843.07439631384,63.5,28786.5,1.0,0.0,69252.0,0.0,0.0,0.0,0.0,1.0,82.0,69.0,37086.3158953023
DOB-GIFT-CRD-2000,Gifts,19.0,9.0,36492.2639226352,17362.727425596833,12.0,24000.0,1.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,36492.2639226352
BLUE-POP-PWR-PACK-67W,Accessories,10.0,10.0,35772.038603206056,34816.392566145965,13.0,46787.0,1.0,1.0,336514.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,35772.038603206056
Watchband - Case,Accessories,17.0,16.0,15561.719873262966,15145.990255734538,21.5,20353.5,1.0,0.0,16077.0,35.53669565217391,33.759860869565216,35501.15895652174,33726.10100869565,1.0,-18.53669565217391,-17.759860869565216,35501.15895652174
BLK-POP-PWR-PACK-67W,Accessories,10.0,10.0,34396.19096462121,33477.300544371115,12.5,44987.5,1.0,1.0,142042.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,34396.19096462121
ANGL-MGSAFE-WLT-STND,Accessories,35.0,34.0,33989.438564661694,33081.41448958689,44.5,44455.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,34.0,33989.438564661694
NOMAD-WRKSTION-PACK,Bags and Backpacks,7.0,8.0,32693.18198428493,35651.74439550134,6.5,32493.5,1.0,0.0,16996.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,32693.18198428493
CardSafe,Accessories,49.0,47.0,32600.59319901047,31729.671973580218,61.0,42639.0,4.0,1.0,36413.0,28.464948369565217,27.041700951086952,20631.879216437886,19600.285255615992,4.0,20.535051630434783,19.958299048913048,32600.59319901047
FELT-DESK-TRIO-BUNDLE-BLK,Home Office,19.0,21.0,26337.950656442823,28361.01522908307,21.5,30078.5,1.0,0.0,32475.0,23.601933053359684,22.4218364006917,31736.66380677958,30149.830616440602,1.0,-4.601933053359684,-1.4218364006916993,31736.66380677958
Weekly Planner,Home Office,49.0,51.0,31521.741998635473,33942.98275260226,51.5,35998.5,5.0,2.0,67972.0,0.0,0.0,0.0,0.0,1.0,49.0,51.0,31521.741998635473
THE-EVRYDY-CARY-GFT-BNDL,Gifts,10.0,5.0,29640.08111566205,14102.513627952994,6.5,19493.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,29640.08111566205
THE-DESK-ENTH-GFT-BNDL,Gifts,10.0,5.0,29640.08111566205,14102.513627952994,6.5,19493.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,29640.08111566205
Enamel Pin,Bags and Backpacks,53.0,57.0,29230.029895716176,31875.19510997298,48.5,29051.5,6.0,1.0,42159.0,0.0,0.0,0.0,0.0,0.0,53.0,57.0,29230.029895716176
Watchband - Silicone,Accessories,43.0,42.0,27523.45163523015,26788.16568261281,51.5,35998.5,9.0,0.0,140318.0,0.0,0.0,0.0,0.0,0.0,43.0,42.0,27523.45163523015
DOB-GIFT-CRD-4000,Gifts,7.0,4.0,27369.1979419764,13022.045569197626,4.5,18000.0,1.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,27369.1979419764
THE-DECLTR-EDTION-GFT-BNDL,Gifts,7.0,3.0,27363.115897989293,13019.15178129336,4.0,17996.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,27363.115897989293
Weekender,Bags and Backpacks,9.0,9.0,26554.186496660805,28957.20184301695,8.0,26392.0,1.0,0.0,0.0,6.428967391304348,6.10751902173913,18695.81005402174,17761.019551320653,1.0,2.571032608695652,2.8924809782608696,26554.186496660805
BAR-DESK-COMBO-5,Home Office,7.0,8.0,26262.64557951232,28279.92583600492,7.5,29992.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,26262.64557951232
TECH-WISE-GFT-BUNDLE,Gifts,7.0,3.0,24322.09390443636,11572.25782916029,4.0,15996.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,24322.09390443636
TAKE-OFF-TRVEL-PACK,Bags and Backpacks,13.0,14.0,24135.41321922929,26319.5422025724,12.0,23988.0,1.0,0.0,19789.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,24135.41321922929
Flekt Silicone MagSafe,Cases And Sleeves,28.0,23.0,23485.48783677812,19531.857805137934,20.5,18229.5,2.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,23485.48783677812
BLK-STCK-WTCHBND-CASE,Accessories,23.0,23.0,21385.083885089305,20813.783744952714,30.0,27970.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,23.0,21385.083885089305
DESK-UPGRD-GFT-BUNDLE,Gifts,6.0,3.0,21281.832166381817,10125.725600515254,3.5,13996.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,21281.832166381817
Hardshell Laptop Case,Cases And Sleeves,15.0,13.0,21156.199484991463,17594.690087334955,11.0,16421.5,2.0,1.0,14990.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,21156.199484991463
Pivot Micro Bag,Bags and Backpacks,25.0,26.0,21107.922041279442,23018.078867257223,21.0,20979.0,5.0,3.0,67864.0,0.0,0.0,0.0,0.0,0.0,25.0,26.0,21107.922041279442
NDE-WIRLES-CRGNG-PHN-STND,Accessories,4.0,3.0,19875.818401029017,19344.838120621764,4.0,25996.0,1.0,0.0,5849.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,19875.818401029017
Clipper,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.119646739130435,27.66366440217391,19248.086494565217,18285.682169836957,1.0,-29.119646739130435,-27.66366440217391,19248.086494565217
Triangle Pouch,Wallet and Pouches,19.0,19.0,10777.381945151594,10345.671760073765,36.0,21264.0,3.0,0.0,9980.0,33.1999332911082,31.5399366265528,18827.38089169816,17886.01184711326,3.0,-14.199933291108202,-12.539936626552802,18827.38089169816
Webcam Cover,Home Office,58.0,63.0,16386.734996248848,17645.429093773313,66.0,18714.0,1.0,0.0,0.0,57.22817028985507,54.36676177536231,18484.699003623187,17560.46405344203,1.0,0.7718297101449281,8.633238224637687,18484.699003623187
Carbon Fiber,Cases And Sleeves,21.0,18.0,18468.757282653543,15359.661404073333,14.5,14335.5,4.0,0.0,0.0,18.217510869565217,17.306635326086955,17197.598076086957,16337.718172282608,4.0,2.782489130434783,0.6933646739130452,18468.757282653543
MONT-MCBK-ADPTR-CASE-CBLE-WNDR-30W,Home Office,23.0,25.0,17840.73592930812,19211.114410125272,25.5,20374.5,1.0,0.0,0.0,13.780565217391304,13.091536956521738,10555.912956521739,10028.117308695651,1.0,9.219434782608696,11.908463043478262,17840.73592930812
Clip-on,Home Office,46.0,49.0,17708.51422446503,19068.736522278752,51.5,20223.5,1.0,1.0,103703.0,9.873250679347828,9.379588145380437,3820.9480129076096,3629.900612262229,1.0,36.12674932065217,39.62041185461956,17708.51422446503
Crest,Home Office,20.0,22.0,17275.072211899937,18602.00106211963,21.5,19728.5,3.0,2.0,70030.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,17275.072211899937
NDE-2IN1-WIRLES-CRGNG-DOK-LMP-WTH-STND,Accessories,2.0,2.0,16051.428354793166,15622.616229586602,2.0,20994.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,16051.428354793166
Crossbody Bag,Bags and Backpacks,6.0,6.0,15087.148625243588,16452.45686708242,5.0,14995.0,1.0,0.0,124120.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,15087.148625243588
CardSafe Phone Wallet,Accessories,14.0,14.0,8169.0714612168995,7950.835624703156,15.5,10684.5,4.0,2.0,62320.0,20.802418478260872,19.76229755434783,13895.770799864133,13200.982259870925,4.0,-6.802418478260872,-5.762297554347828,13895.770799864133
Nimbus Frosted,Cases And Sleeves,18.0,14.0,13189.20879503091,10968.890769362824,12.5,10237.5,3.0,0.0,1398.0,0.0,0.0,0.0,0.0,0.0,18.0,14.0,13189.20879503091
LIGHT-TRAVEL-GFT-BUNDLE,Gifts,4.0,2.0,13073.35355028406,6220.197100220065,2.0,8598.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,13073.35355028406
Poncho Airpods,Cases And Sleeves,30.0,29.0,12279.652613415103,10212.452490176483,18.5,9531.5,14.0,5.0,26013.0,0.0,0.0,0.0,0.0,0.0,30.0,29.0,12279.652613415103
WANDRLST-GFT-BUNDLE,Gifts,4.0,2.0,11552.842553507597,5496.750124153531,2.0,7598.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,11552.842553507597
THE-MINI-TCH-NUT-GFT-BNDL,Gifts,8.0,4.0,11396.229920839618,5422.235085618678,5.0,7495.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,11396.229920839618
Watchband - Braided Solo Loop,Accessories,17.0,16.0,11223.155035724916,10923.329695822698,21.0,14679.0,2.0,0.0,662189.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,11223.155035724916
BAR-DESK-COMBO-13,Home Office,3.0,3.0,10505.05823180493,11311.970334401967,3.0,11997.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,10505.05823180493
OUT-OFC-GFT-BUNDLE,Gifts,3.0,2.0,8892.708564647166,4231.079639525128,1.5,5848.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,8892.708564647166
NDE-PORTBL-LMP,Accessories,2.0,2.0,8599.525598768036,8369.790227792479,2.5,11247.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8599.525598768036
DOB-GIFT-CRD-1000,Gifts,9.0,4.0,8362.810482270566,3978.958368365941,5.5,5500.0,1.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,8362.810482270566
Kimono,Home Office,10.0,11.0,5858.03447284946,6308.000461544483,10.0,6690.0,2.0,0.0,0.0,11.645492527173914,11.063217900815218,8140.199276494566,7733.189312669838,2.0,-1.6454925271739143,-0.06321790081521783,8140.199276494566
STRD-2-0-ROAR-LGND-SS-GLS24ULTRA,Cases And Sleeves,12.0,10.0,7934.7826098750065,6599.01325992729,9.0,6159.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,7934.7826098750065
STRD-3-0-THE-SURV-AP-IPH14PRO,Cases And Sleeves,8.0,7.0,6949.215359257312,5779.359883755123,6.0,5394.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,6949.215359257312
BLUE-HYBRD-CLR-DOB-AP-IPH11PRO,Cases And Sleeves,13.0,11.0,6426.156138668052,5344.354301106888,10.0,4988.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,6426.156138668052
STRD-3-0-THE-OVER-AP-IPH14PRO,Cases And Sleeves,8.0,6.0,6370.114079319203,5297.746560108863,5.5,4944.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,6370.114079319203
Vulcan,Cases And Sleeves,8.0,6.0,6305.697919148111,5244.174444019179,5.5,4894.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,6305.697919148111
Glass,Cases And Sleeves,19.0,19.0,6171.712305992242,5132.7444425526355,9.5,4790.5,18.0,1.0,4787.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,6171.712305992242
