SKU,COGS
BLUSH-PCHO-ARPD-PRO-SKIN,57.0
BLK-RIBD-SLCON-APL-WATCH-STRP-38,100.0
YELW-PLUN-APL-WATCH-STRP-42,123.0
STRD-2-0-CLR-DO-SS-GLS22,125.0
BLK-POPY-LTHR-APL-IWATCH-STRP-42,322.0
RFLX-MAGSF-SHLD-AP-IPH15,320.0
CML-BRWN-POPY-MGTLNK-APL-IWATCH-STRP-42,322.0
GRN-NIMBS-MAGSAF-PHN-AP-IPH12,209.0
PRPL-NIMBS-MAGSAF-PHN-AP-IPH15,209.0
BLK-PLAT-YFLD-MGNTC-IPAR-13-2025,705.0
WHT-FRSTD-CLR-NT-PHN1,210.0
BLUE-BRD-SOLO-LOOP-APL-IWATCH-STRP-42,350.0
WHT-FRSTD-CLR-NT-PHN2A,212.0
MEGSAF-FLKT-SLCN-DOB-AP-IPH16PRO,311.0
OFFWHT-SLCON-APL-IWATCH-STRP-42,67.0
STRD-2-0-CLR-DO-SS-GLS22ULTRA,125.0
BLU-BLK-PULTAB-NYLN-WEV-AP-WTCH-STRP-42,199.0
BLK-GREY-SPRTS-LOOP-AP-WTCH-STRP-38,99.0
PINE-GRN-NYLON-LOOP-APL-IWATCH-STRP-42,298.0
SLVR-MLES-LOP-APL-IWTCH-STRP-42,94.0
PLUM-SLCON-APL-IWATCH-STRP-38,140.0
BLK-SLICNE-BUCK-UNVRSAL-WTHBAND-20,75.0
STRD-2-0-CLR-DO-SS-GLS20FE,125.0
CLAY-SLCON-APL-IWATCH-STRP-42,67.0
GRN-RDGE-SOLO-APL-WATCH-STRP-42,199.0
BLK-NYLON-APL-IWATCH-STRP-38,110.0
SLVR-BUND-SCRN-PRTCTR-AP-WTCH-ULTRA,100.0
BLK-MLES-LOP-2-0-AP-IWTCH-STRP-38,512.0
RED-BRD-SOLO-LOOP-APL-IWATCH-STRP-42,350.0
SGE-GRN-PLAT-YFLD-MGNTC-IPAR3-11,606.0
BLK-NYLON-UNVRSAL-WTHBAND-22,110.0
BLUE-SLCON-APL-IWATCH-STRP-38,140.0
SGE-GRN-PLAT-YFLD-MGNTC-IPAR-13-2025,705.0
BEM-MGSAF-PHN-AP-IPH16PRO,140.0
NAVY-RDGE-SOLO-APL-WATCH-STRP-42,199.0
BEM-PHN-SS-GLS25ULTRA,96.0
BRWN-POPY-LTHR-LINK-APL-IWATCH-STRP-42,322.0
DRK-GRN-RDGE-SOLO-APL-WATCH-STRP-38,199.0
BLK-SPRTS-LOOP-AP-WTCH-STRP-42,99.0
STRLIGHT-RDGE-SOLO-APL-WATCH-STRP-38,199.0
ORNG-BEGE-PULTB-NYLNWEV-AP-WTCH-STRP-38,199.0
JET-BLK-PLUN-APL-WATCH-STRP-42,123.0
GRN-BLK-DUAL-LOCK-PRTCTV-BMPR-CASE-AP-WATBND-40,317.0
STRD-2-0-CLR-MEGSAF-AP-IPH13MINI,186.0
POP-45W-TWN-PRT-GN-WAL-ADPTR-WHT,900.0
ATLC-BLU-PLAT-YFLD-MGNTC-IPAR3-11,606.0
ATLC-BLU-PLAT-YFLD-MGNTC-IPAR-11-11,593.0
PRPL-NIMBS-MAGSAF-PHN-AP-IPH14PROMAX,209.0
MEGSAF-FLKT-SLCN-DOB-AP-IPH16,311.0
DRK-NIHT-SLCON-APL-IWATCH-STRP-38,140.0
STRD-2-0-CLR-MEGSAF-AP-IPH14PLS,186.0
POP-67W-TRPL-PRT-GN-DSK-ADPTR-RED,992.0
GRPHT-MGT-MLES-LOP-APL-IWTCH-STRP-38,120.0
BLK-NIMBS-MAGSAF-PHN-AP-IPH12,209.0
GRN-NIMBS-MAGSAF-PHN-AP-IPH13PRO,209.0
CML-BRWN-POPY-MGTLNK-APL-IWATCH-STRP-38,322.0
RSGLD-SLK-FIT-APL-WATBND-SRES-SCRN-PRCTR-41,86.0
ORNG-RDGE-SOLO-APL-WATCH-STRP-42,199.0
BLK-GRY-SPRT-SLCON-AP-WTHBAND-SLVR-38,100.0
OLIVE-BRD-SOLO-LOOP-APL-IWATCH-STRP-38,350.0
BLK-SPRTS-LOOP-AP-WTCH-STRP-38,99.0
BLU-RED-SPRTS-LOOP-AP-WTCH-STRP-42,99.0
PD-20W-DUL-PRT-CHRGR,475.0
PLUM-ORNG-SPRTS-LOOP-AP-WTCH-STRP-38,99.0
GRN-NIMBS-MAGSAF-PHN-AP-IPH15,209.0
STRD-2-0-ANGL-MEGSAF-WLT-AP-IPH15PRO,
BLK-NYLON-UNVRSAL-WTHBAND-20,110.0
SLVR-MLNSE-LOOP-LTHR-UNVRSAL-WTHBAND-22,172.0
DENM-NYLON-LOOP-APL-IWATCH-STRP-38,298.0
GRN-PLUN-APL-WATCH-STRP-42,123.0
PSTLGREEN-SLCON-APL-IWATCH-STRP-38,67.0
GRN-NIMBS-MAGSAF-PHN-AP-IPH13PROMAX,209.0
BLK-GRY-TWOTN-SLCON-APL-WATCH-STRP-38,354.0
RED-COAST-ARPDPRO2-CAS-COVR-2-0,75.0
STRLIGHT-RDGE-SOLO-APL-WATCH-STRP-42,199.0
BLK-VELUR-SNPON-APL-WATCH-STRP-38,382.0
OLIVE-BRD-SOLO-LOOP-APL-IWATCH-STRP-42,350.0
ATLC-BLU-PLAT-YFLD-MGNTC-IPAR-4-10-9,593.0
BLK-PLAT-YFLD-MGNTC-IPAR-2024-13,705.0
BLK-HYBRD-CLR-DOB-AP-IPH13MINI,115.0
CLR-SLK-FIT-APL-WATBND-SRES-SCRN-PRCTR-41,86.0
BLUE-RDGE-SOLO-APL-WATCH-STRP-42,199.0
RED-COAST-ARPDPRO-CAS-COVR-2-0,75.0
MARON-SLCON-APL-IWATCH-STRP-42,67.0
BLUE-SLK-FIT-APL-WATBND-SRES-SCRN-PRCTR-44,86.0
EVRYGRN-POPY-MGTLNK-APL-IWATCH-STRP-38,322.0
RFLX-MAGSF-SHLD-AP-IPH15PLS,320.0
PLUM-RDGE-SOLO-APL-WATCH-STRP-42,199.0
NIMBS-MAGSAF-2-0-PHN-AP-IPH15PRO,329.0
BEM-MGSAF-PHN-AP-IPH13PRO,140.0
BLK-PLAT-YFLD-MGNTC-IPPRO6-12-9,705.0
GREY-COAST-ARPDPRO-CAS-COVR-2-0,75.0
BLK-POPY-LTHR-APL-IWATCH-STRP-38,322.0
BLK-BLUE-ACTVFIT-PRTCTV-BMPR-CASE-AP-WATBND-41,321.0
OXFRD-BLU-PLUN-APL-WATCH-STRP-42,123.0
BLU-ORNG-SPRTS-LOOP-AP-WTCH-STRP-42,99.0
NIMBS-MAGSAF-2-0-PHN-AP-IPH12,329.0
BERY-BRD-SOLO-LOOP-APL-IWATCH-STRP-42,350.0
BLK-HYBRD-CLR-DOB-SS-GLS20FE,115.0
BRWN-POPY-LTHR-LINK-APL-IWATCH-STRP-38,322.0
GLD-MLNSE-LOOP-LTHR-UNVRSAL-WTHBAND-20,172.0
WHT-PLUN-APL-WATCH-STRP-38,123.0
BLUE-POPY-MGTLNK-APL-IWATCH-STRP-38,322.0
DRK-GREY-PCHO-ARPD-3-SKIN,54.0
CHRCL-BRD-SOLO-LOOP-APL-IWATCH-STRP-42,350.0
PRPL-NIMBS-MAGSAF-PHN-AP-IPH13,209.0
DRK-CHRY-POPY-LTHR-LINK-APL-IWATCH-STRP-38,322.0
ATLC-BLU-PLAT-YFLD-MGNTC-IPPRO6-12-9,705.0
CHRCL-BRD-SOLO-LOOP-APL-IWATCH-STRP-38,350.0
ARMY-GRN-NYLON-UNVRSAL-WTHBAND-22,110.0
GRN-POPY-LTHR-LINK-APL-IWATCH-STRP-42,322.0
MIDNYTBLU-POPY-LTHR-APL-IWATCH-STRP-42,322.0
HALO-2-0-MGS-RTBL-STND-AP-IPH15PLS,414.0
PLUM-RDGE-SOLO-APL-WATCH-STRP-38,199.0
BLK-PCHO-ARPD-PRO-SKIN,57.0
DUAL-CLOR-NYLON-APL-IWATCH-STRP-38,110.0
ARMY-GRN-ATHL-FIT-APL-WATBND-SRES-SCRN-PRCTR-45,322.0
PNK-SOLO-LOP-SLCON-APL-IWATCH-STRP-38,97.0
BLK-TUGH-FIT-APL-WATBND-SRES-44,266.0
GRN-COAST-ARPDPRO2-CAS-COVR-2-0,75.0
STRD-2-0-CLR-DO-AP-IPH11,125.0
BLK-SLICNE-UNVRSAL-WTHBAND-20,67.0
HBCS-NYLON-APL-IWATCH-STRP-42,110.0
LIME-ENML-BMPR-MGSAF-AP-IPH12PRO,288.0
MIROR-DOB-AP-IPH12PROMAX,144.0
BLUE-RIBD-FIT-APL-WATBND-SRES-SCRN-PRCTR-40,85.0
BEM-PHN-SS-GLS23,96.0
PINK-BRD-SOLO-LOOP-APL-IWATCH-STRP-42,350.0
SLVR-MLNSE-LOOP-LTHR-UNVRSAL-WTHBAND-20,172.0
BLUE-NIMBS-MAGSAF-PHN-AP-IPH12,209.0
ARMY-GRN-ATHL-FIT-APL-WATBND-SRES-SCRN-PRCTR-44,322.0
SLVR-TUGH-FIT-APL-WATBND-SRES-45,266.0
BLK-GRY-RIBD-SLCON-APL-WATCH-STRP-38,100.0
STRD-2-0-CLR-ANGL-MEGSAF-WLT-AP-IPH15,
RED-ENML-BMPR-MGSAF-AP-IPH12,288.0
CLR-SLK-FIT-APL-WATBND-SRES-SCRN-PRCTR-44,86.0
BLK-HYBRD-CLR-DOB-SS-GLS22ULTRA,115.0
SGE-GRN-PLAT-YFLD-MGNTC-IPAR1-11,606.0
PRPL-NIMBS-MAGSAF-PHN-AP-IPH12,209.0
ORNG-BEAT-UNVRSAL-WTHBAND-22,110.0
STRD-2-0-CLR-DO-SS-GLS21ULTRA,125.0
HYBRD-CLR-MEGSAF-DOB-AP-IPH12,208.0
BEM-MGSAF-PHN-AP-IPH12PROMAX,140.0
BLK-PLAT-YFLD-MGNTC-IPPRO5-12-9,705.0
ATLC-BLU-PLAT-YFLD-MGNTC-IPPRO5-12-9,705.0
OLIV-ORNG-SPRTS-LOOP-AP-WTCH-STRP-38,99.0
BLK-HYBRD-CLR-DOB-AP-IPH12MINI,115.0
BLK-HYBRD-CLR-DOB-SS-GLS21FE,115.0
BLUE-SLICNE-UNVRSAL-WTHBAND-22,67.0
BLU-GREY-SPRTS-LOOP-AP-WTCH-STRP-42,99.0
MIDNITBLU-SLCON-APL-IWATCH-STRP-38,67.0
PRPL-NIMBS-MAGSAF-PHN-AP-IPH15PLS,209.0
GRN-NIMBS-MAGSAF-PHN-AP-IPH14,209.0
STRD-2-0-CLR-DO-AP-IPH13,125.0
YELW-PLUN-APL-WATCH-STRP-38,123.0
PNK-SOLO-LOP-SLCON-APL-IWATCH-STRP-42,97.0
STRD-2-0-CLR-DO-GO-PIXEL6,125.0
STRD-2-0-ANGL-MEGSAF-WLT-AP-IPH15PROMAX,
SEATH-PRTCTR-APLCTOR-AP-IPH15,151.0
TAN-GRY-LTHR-MGSAF-AP-IPH16PRO,544.0
PRPL-NIMBS-MAGSAF-PHN-AP-IPH13PRO,209.0
HALO-2-0-MGS-RTBL-STND-AP-IPH12PROMAX,414.0
STRD-RED-CLR-DO-AP-IPH12MINI,126.0
GRN-NIMBS-MAGSAF-PHN-AP-IPH12PRO,209.0
RED-POPY-LTHR-LINK-APL-IWATCH-STRP-38,322.0
DRK-TUPE-POPY-MGTLNK-APL-IWATCH-STRP-38,322.0
MARON-SLCON-APL-IWATCH-STRP-38,67.0
MDNYT-BLU-BRD-SLOLOP-AP-WTHBND-STRP-42,350.0
MIDNITBLU-SLCON-APL-IWATCH-STRP-42,67.0
BLK-BRD-SLO-LOP-AP-IWATCH-STRP-42,350.0
GRN-NIMBS-MAGSAF-PHN-AP-IPH13,209.0
BLK-HYBRD-CLR-DOB-AP-IPH11PRO,115.0
GLAS-VINY-COLL-ON-11,
BLK-BEGE-LTHER-MGSAF-AP-IPH16PLS,544.0
PRPL-NIMBS-MAGSAF-PHN-AP-IPH13PROMAX,209.0
GLD-MGT-MLES-LOP-APL-IWTCH-STRP-42,181.0
BLK-HYBRD-CLR-DOB-SS-GLS22,115.0
BLK-LME-TWOTN-SLCON-APL-WATCH-STRP-38,354.0
BLK-BRD-SOLO-LOOP-APL-IWATCH-STRP-38,350.0
MEGSAF-FLKT-SLCN-DOB-AP-IPH13PROMAX,311.0
STRD-2-0-CLR-DO-AP-IPH11PROMAX,125.0
PINK-SLICNE-UNVRSAL-WTHBAND-20,67.0
STRD-2-0-CLR-DO-AP-IPH11PRO,125.0
CDET-TEAL-SLCON-APL-IWATCH-STRP-38,140.0
PINE-GRN-NYLON-LOOP-APL-IWATCH-STRP-38,298.0
ROSE-GLD-MGT-MLES-LOP-APL-IWTCH-STRP-42,181.0
SRG-MGNTC-WIRLES-BTRY-PACK,1519.0
BLUE-HYBRD-CLR-DOB-AP-IPH13PRO,115.0
BLUE-PCHO-ARPD-PRO-SKIN,57.0
PLN-GLAS-GRA-DOB-SS-ON-10PRO,114.0
TEL-SLICNE-BUCK-UNVRSAL-WTHBAND-20,75.0
STRD-2-0-ANGL-MEGSAF-WLT-AP-IPH15PLS,
BLK-HYBRD-CLR-DOB-AP-IPH12PROMAX,115.0
RED-BRD-SOLO-LOOP-APL-IWATCH-STRP-38,350.0
GRN-NIMBS-MAGSAF-PHN-AP-IPH14PRO,209.0
PRPL-NIMBS-MAGSAF-PHN-AP-IPH14,209.0
BLK-HYBRD-CLR-DOB-AP-IPH14PRO,115.0
WHT-SLCON-APL-IWATCH-STRP-42,67.0
ORNG-SLCON-APL-IWATCH-STRP-42,67.0
SLIK-PHN-DOB-AP-IPH12PROMAX,304.0
RED-SLICNE-MGTC-POPY-UNVRSAL-WTHBAND-22,200.0
GRN-PCHO-ARPD-PRO-SKIN,57.0
GLAS-K3-FULL-THRO-ON-9,114.0
PLN-GLAS-GRA-DOB-ON-NORD2T,114.0
HBCS-DUAL-CLOR-NYLON-APL-IWATCH-STRP-42,110.0
STRD-2-0-CLR-DO-AP-IPHX,125.0
STRD-2-0-ANGL-MEGSAF-WLT-AP-IPH14PRO,
SEA-GRN-SLICNE-BUCK-UNVRSAL-WTHBAND-20,75.0
GRN-NIMBS-MAGSAF-PHN-AP-IPH15PLS,209.0
BLUE-HYBRD-CLR-DOB-AP-IPH13PROMAX,115.0
BLK-HYBRD-CLR-FITS-DOB-AP-IPH13MINI,139.0
STRD-2-0-SHOC-PRF-MEGSAF-AP-IPH13,210.0
GLAS-CROS-WHIT-RADI-DOB-ON-9PRO,114.0
GREY-CRAN-DOB-NT-PHN1,210.0
PLN-GLAS-CHA-GRA-DOB-SS-ON-10PRO,114.0
GLAS-VINY-COLL-ON-NORD3,
GLD-MGT-MLES-LOP-APL-IWTCH-STRP-38,181.0
BLUE-RIBD-SLCON-APL-WATCH-STRP-38,100.0
TRQUES-SLCON-APL-IWATCH-STRP-42,67.0
GLAS-BLK-DIAL-DOB-SS-NT20ULRA,114.0
VIOL-PSYC-DOB-NT-PHN1,210.0
GRN-RIBD-SLCON-APL-WATCH-STRP-42,100.0
SLIK-PHN-DOB-AP-IPH13MINI,304.0
BLK-HYBRD-CLR-DOB-AP-IPH12,115.0
BLK-HYBRD-CLR-CURR-MOOD-DOB-AP-IPH12MINI,139.0
BLK-HYBRD-CLR-OFFW-DREA-AP-IPH12MINI,139.0
BLK-HYBD-STAR-NIGH-AP-IPH11,139.0
BLK-HYBRD-CLR-PERI-ROSE-DOB-AP-IPH12MINI,139.0
GLAS-K3-MAYH-OPPO-RENO7PRO,114.0
GLAS-UNIQ-DOB-OPPO-RENO7PRO,114.0
PLN-GLAS-MIR-GRY-DOB-XI-MI11LITE,114.0
PLN-GLAS-NEB-BLU-DOB-OPPO-RENO7PRO,114.0
COAL-PSYC-DOB-NT-PHN1,210.0
GLAS-EVER-IS-CONN-SDTH-XI-12PRO,114.0
PLN-GLAS-DAR-TEA-DOB-ON-NORD2T,114.0
PLN-GLAS-LIG-BLU-DOB-ON-NORD2T,114.0
PLN-GLAS-MAG-DOB-ON-NORD2T,114.0
PLN-GLAS-UND-GRA-DOB-ON-NORD2T,114.0
GLAS-GOL-MAR-ART-DOB-SS-GLA52,114.0
GLAS-MAR-SKY-DOB-SS-GLA53,114.0
GLAS-THE-MAGI-DOB-ON-10PRO,114.0
GRAY-PCHO-ARPD-PRO-SKIN,57.0
OFF-WHT-PCHO-ARPD-PRO-SKIN,57.0
BLUSH-COAST-ARPD2-SOCK-CAS-COVR,75.0
STRD-2-0-CLR-DO-AP-IPH12,125.0
STRD-2-0-CLR-DO-AP-IPH13MINI,125.0
STRD-2-0-CLR-DO-AP-IPH14PLS,125.0
STRD-2-0-CLR-DO-AP-IPH14PRO,125.0
STRD-2-0-CLR-DO-AP-IPH14PROMAX,125.0
BLK-POPY-MGTLNK-APL-IWATCH-STRP-42,322.0
NIMBS-MAGSAF-2-0-PHN-AP-IPH15PROMAX,329.0
NIMBS-MAGSAF-2-0-PHN-AP-IPH12PROMAX,329.0
BLUE-HYBRD-CLR-DOB-AP-IPH14PLS,115.0
GREY-RIBD-SLCON-APL-WATCH-STRP-38,100.0
GLAS-K3-BATT-OF-TIME-SS-GLA73,114.0
BLK-GRN-SPRT-SLCON-AP-WTHBAND-SLVR-42,100.0
BLK-HYBRD-CLR-POSI-DOB-AP-IPH13MINI,139.0
BLK-HYBRD-CLR-OFFW-MAND-AP-IPH12PROMAX,139.0
BLUE-HYBRD-CLR-REWI-AP-IPH11,139.0
GLAS-BING-WATC-DOB-ON-9R,114.0
GLAS-SONY-CASS-MXI-ON-7,114.0
GRN-HYBRD-CLR-FUR-BABI-DOB-AP-IPH12MINI,139.0
AQUA-PSYC-DOB-NT-PHN1,210.0
TEAL-ORAN-CRAN-DOB-NT-PHN1,210.0
DEP-SEA-AMBT-MSG-BAG-NEW,
BLK-LETHER-LOOP-APL-IWATCH-STRP-38,500.0
LVNDR-RIBD-SLCON-APL-WATCH-STRP-42,100.0
BLUE-MGT-MLES-LOP-APL-IWTCH-STRP-38,120.0
STRD-2-0-HUST-WHEN-TH-RES-DOB-AP-IPH14PROMAX,125.0
RED-MGT-MLES-LOP-APL-IWTCH-STRP-42,120.0
SLIK-PHN-DOB-AP-IPH12PRO,304.0
BLUE-NIMBS-MAGSAF-PHN-AP-IPH12PRO,209.0
BLK-HYBRD-CLR-STRI-SLI-DOB-AP-IPH12PROMAX,139.0
BL-HY-CL-CLEA-PIN-AND-PUR-PAI-FLO-AP-IPH13PRO,139.0
BL-HY-CL-CLEA-PIN-RED-AND-WHI-FLO-AP-IPH13,139.0
BL-HY-CL-CLE-FLO-AND-DAI-DOB-AP-IP12MINI,139.0
BLK-HYBRD-CLR-AQUA-ANGL-DOB-AP-IPH13MINI,139.0
BLK-HYBRD-CLR-STRI-SLI-DOB-AP-IPH11,139.0
BLK-HYBRD-CLR-STRI-SLI-DOB-AP-IPH12MINI,139.0
GRN-HYBRD-CLR-CLE-FER-AND-FLO-DOB-AP-IPHXSMAX,139.0
GRN-HYBRD-CLR-STRI-SLI-DOB-AP-IPHXSMAX,139.0
NIMBS-PHN-DOB-AP-IPH15PLS,304.0
NIMBS-PHN-DOB-AP-IPH15PRO,304.0
SLIK-PHN-DOB-AP-IPH14PROMAX,304.0
BLK-HYBRD-CLR-CLEA-PAI-HIB-DOB-AP-IPH13MINI,139.0
BLK-HYBD-DESE-DROP-AP-IPH13PRO,139.0
BLK-HYBD-SPAC-DISC-AP-IPH15PROMAX,139.0
BLK-HYBD-THE-FINA-STR-AP-IPH13,139.0
BLK-HYBRD-CLR-CLEA-HIBI-DOB-AP-IPH13MINI,139.0
BLK-HYBRD-CLR-CLEA-SUNF-DOB-AP-IPH13MINI,139.0
BLK-HYBRD-CLR-CLE-BRI-SUN-DOB-AP-IPH13MINI,139.0
BLK-HYBRD-CLR-COF-IS-LOVE-DOB-AP-IPH13MINI,139.0
BLK-HYBRD-CLR-DOB-AP-IPH13PROMAX,115.0
BLK-HYBRD-CLR-PART-POPP-AP-IPH13MINI,139.0
BLK-HYBRD-CLR-POME-PARTY-DOB-AP-IPH14PLS,139.0
BLK-HYBRD-CLR-RAST-DOB-AP-IPH14PLS,139.0
