Sku Code,SKU Name,Model,Department,Brand,Category Name,SKU Status,COGS,Selling Price,Website Status,Oct,Nov,oct_rev,nov_rev
KVLR-CORE-4IN1-CHRGNG-CABLE-100W,DailyObjects SURGE™ Kevlar Core 4-in-1 100W Charging Cable,,M.A,Surge Charging System,Wireless Charger,Continue,337.0,943.0,Active,1383.8278695652175,1314.6364760869565,1304949.681,1239702.19695
SRG-3IN1-QI2-WIRLES-CHRGER,SURGE™ 3-In-1 Qi2-Certified Magsafe-Compatible Wireless Charger,,M.A,Surge Charging System,Wireless Charger,Continue,2970.0,6367.0,Active,203.6482124425425,193.46580182041538,1296628.1686216681,1231796.7601905847
CLY-LOFT-CHRNG-STATION-65W,Clay Loft Charging Station 65W,,M.A,Loft Charging Station,Charging Station,Continue,2112.0,4855.0,Active,260.87165217391305,247.8280695652174,1266531.8713043479,1203205.2777391304
AXLE-TWIN-PORT-53W-CAR-CHRGR,DailyObjects Axle Two-Port 53W Car Charger,,M.A,Surge Charging System,Wireless Charger,Continue,306.0,1671.0,Active,699.8600543478261,664.8670516304347,1169466.1508152175,1110992.8432744564
TITNM-LOP-MAGSF-QI2-PWR-BNK-5000MH,Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 5000 mAh - Titanium,,M.A,Wireless Chargers,Wireless Charger,Continue,1305.0,3675.0,Active,307.665,292.28175,1130668.875,1074135.43125
TITNM-LOP-UNVRSAL-PWR-BNK-10000MH,Loop Universal Aluminium Power Bank 10000 mAh - Titanium,,M.A,Wireless Chargers,Wireless Charger,Continue,1238.0,2744.0,Active,409.73625,389.24943749999994,1124316.27,1068100.4564999999
MRPH-FLDBL-DSKMT-LAPTOP-STND,Morph Foldable Deskmat with Laptop Stand,,D.G,Desk Mat-Morph,Stands,,,1883.5943076923072,active,576.714397515528,547.8786776397516,1086295.9563244472,1031981.1585082246
ANLOG-SLM-RFID-MGSAF-CRD-WLET,Analog Slim RFID MagSafe Card Wallet,,M.A,Generic Products,RFID Wallet,Under Discussion,646.0,1499.0,Active,679.4790741915028,645.5051204819276,1018539.1322130627,967612.1756024095
CHRCOL-LOFT-CHRNG-STATION-65W,Charcoal Loft Charging Station 65W,,M.A,Loft Charging Station,Charging Station,Continue,2112.0,4868.0,Active,206.658,196.3251,1006011.144,955710.5867999999
BLK-RPSTP-AGIS-TECH-ORGNISER-MED,Black Ripstop Vault Tech Organiser - Medium,,D.G,Ripstop Vault Tech Kit - Medium,New-Category,,,1788.740333333333,active,495.94129373757784,471.1442290506989,887110.1950739194,842754.6853202233
BLK-LOP-UNVRSAL-PWR-BNK-10000MH,Loop Universal Aluminium Power Bank 10000 mAh - Black,,M.A,Wireless Chargers,Wireless Charger,Continue,1238.0,2749.0,Active,322.1775,306.068625,885665.9475,841382.650125
MANDARIN-PRK-TECH-KIT,Tangerine Park Tech Kit,,M.A,Park Tech Kit,Tech Kit,Continue,1171.0,3421.0,Active,256.26717588679065,243.45381709245112,876690.0087087108,832855.5082732752
SRG-FLDWY-3-1-QI2-2-WIRLES-CHRGR-ORNG,SURGE Foldaway 3-In-1 Qi2.2-Certified Magsafe-Compatible Wireless Charger - Cosmic Orange,,M.A,Wireless Chargers,Foldway Eyewear Designer,Continue,3426.0,7777.0,Active,111.98050248796802,106.38147736356962,870872.3678489273,827328.7494564808
ALL-BLUE-PEDAL-DAYPACK,All Blue Pedal Daypack,,D.G,Pedal Daypack,Fleet 2.0 Collection,,,1280.5805927835072,active,678.5520622641793,644.6244591509703,868940.602128734,825493.5720222973
CPSUL-GDGET-CLNING-KIT,DailyObjects Capsule Gadget Cleaning Kit,,M.A,Generic Products,Cleaning Kit,Continue,171.0,768.0,Active,1118.2059020923405,1062.2956069877234,858782.1328069174,815843.0261665715
BSLT-PVT-AMBT-MSG-BAG,Pivot Ambit Messenger - Basalt,,D.G,Pivot Ambit Messenger,PIVOT COLLECTION,,,4173.642456140351,active,199.98038043478263,189.9813614130435,834646.606177708,792914.2758688225
BLK-LOP-MAGSF-QI2-PWR-BNK-5000MH,Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 5000 mAh - Black,,M.A,Wireless Chargers,Wireless Charger,Continue,1305.0,3708.0,Active,216.72,205.884,803597.76,763417.872
MNKY-SOLDR-DO-VAULT-TECH-MED,Monkey Shoulder x DO Vault Tech Organiser- Medium,,D.G,Ripstop Vault Tech Kit - Medium,Monkey Shoulder,,,1920.8403333333335,active,406.56577281414246,386.23748417343535,780947.9345742417,741900.5378455297
BLUE-LOP-MAGSF-QI2-PWR-BNK-5000MH,Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 5000 mAh - Blue,,M.A,Wireless Chargers,Wireless Charger,Continue,1305.0,3835.0,Active,203.17500000000004,193.01625000000004,779176.1250000001,740217.3187500002
CRBN-BLK-IDYL-DOB-TOTE-BAG,Carbon Black Idyll Tote Bag,,D.G,Recess Tote Bag,New-Category,,,2643.2098571428573,active,288.5808015454755,274.1517614682017,762779.6192271875,724640.6382658281
SND-PVT-AMBT-MSG-BAG,Pivot Ambit Messenger - Sand,,D.G,Pivot Ambit Messenger,PIVOT COLLECTION,,,4324.8670833333335,active,170.40615957565817,161.88585159687526,736983.9903460114,700134.7908287108
BSLT-PVOT-TAIGA-BACKPACK,Pivot Taiga Backpack - Basalt,,D.G,Pivot Taiga Backpack,PIVOT COLLECTION,,,3873.5302777777783,active,187.29216915018782,177.9275606926784,725481.8879939297,689207.7935942331
ELCTRC-BLUE-PRK-TECH-KIT,Electric Blue Park Tech Kit,,M.A,Park Tech Kit,Tech Kit,Continue,1171.0,3450.0,Active,209.08111999734572,198.62706399747842,721329.8639908427,685263.3707913005
FORST-LOFT-CHRNG-STATION-65W,Forest Loft Charging Station 65W,,M.A,Loft Charging Station,Charging Station,Continue,2112.0,4855.0,Active,146.37496841836258,139.05621999744446,710650.4716711503,675117.9480875928
STRD-2-0-CLR-DOB-SS-GLS24ULTRA,DailyObjects Stride 2.0 Clear Case Cover for Samsung Galaxy S24 Ultra,Samsung Galaxy S24 Ultra,M.A,Generic-Stride 3.0 Case,Stride 3.0,Continue,147.0,826.0,Active,780.0573913043478,741.0545217391303,644327.4052173913,612111.0349565217
BLK-RPSTP-AGIS-TECH-ORGNISER-SML,Black Ripstop Vault Tech Organiser - Small,,D.G,Ripstop Vault Tech Kit - Small,New-Category,,,1400.434444444445,active,456.0471271290901,433.24477077263555,638664.1051215124,606730.8998654368
ALL-CLVE-PEDAL-DAYPACK,All Clove Pedal Daypack,,D.G,Pedal Daypack,Fleet 2.0 Collection,,,1297.5443378995449,active,470.8961966226708,447.35138679153727,611008.6936661773,580458.2589828684
TAUPE-PRK-TECH-KIT,Sand Park Tech Kit,,M.A,Park Tech Kit,Tech Kit,Continue,1171.0,3370.0,Active,178.19415071176343,169.28444317617524,600514.2878986427,570488.5735037106
TURF-LETHER-DESK-MAT-TAN,Turf Vegan Leather Desk Mat (Tan),,D.G,Desk Mat,Desk Mat Leather Tan,,,923.9592671394801,active,633.0875538661844,601.4331761728752,584947.1123053258,555699.7566900596
SLAT-STCK-PHN-AP-IPH17PRO,Slate Stack Phone Case Cover for iPhone 17 Pro,iPhone 17 Pro,M.A,Stack Phone Case,Stack Eco System,Continue,670.0,1671.0,Active,320.3163366977226,304.30051986283644,535248.5986218945,508486.1686907997
TAN-URBAN-TECH-FLIO,Urbane Tech Folio - Tan,,D.G,Folio Case,Folio Case,,,1806.648050847458,active,292.80438090474416,278.1641618595069,528994.4640411527,502544.74083909503
SLAT-STCK-PHN-WLET-STND,Slate Stack Phone Wallet Stand,,M.A,Stack Phone Wallet Stand,Stack Eco System,Continue,808.0,2945.0,Active,179.50694023816118,170.5315932262531,528647.9390013847,502215.5420513154
CRBN-STCK-PHN-WLET-STND,Carbon Stack Phone Wallet Stand,,M.A,Stack Phone Wallet Stand,Stack Eco System,Continue,808.0,2942.0,Active,175.40115179554206,166.63109420576495,516030.1885824847,490228.6791533605
BLUE-RPSTP-VULT-TECH-ORGNISER-MED,Blue Ripstop Vault Tech Organiser - Medium,,D.G,Ripstop Vault Tech Kit - Medium,New-Category,,,1942.4323357664232,active,229.90336889700643,218.4082004521561,446571.73784718185,424243.1509548228
NAVY-FELD-BACKPACK,Navy Field Backpack,,D.G,Field Backpack,New Canvas,,,3038.4124193548387,active,146.5589458992095,139.230998604249,445306.52138771204,423041.1953183264
INDGO-STCK-PHN-AP-IPH17PRO,Indigo Stack Phone Case Cover for iPhone 17 Pro,iPhone 17 Pro,M.A,Stack Phone Case,Stack Eco System,Continue,670.0,1664.0,Active,261.82516486881156,248.73390662537096,435677.07434170245,413893.2206246173
CRBN-BLK-STRA-SLEVE-MED,Carbon Black Stria Laptop Sleeve- Medium,,D.G,Stria Laptop Sleeve - Medium,New-Category,,,1391.8915428571424,active,299.80581521739134,284.81552445652176,417297.17870047817,396432.3197654543
CLVE-FELD-BACKPACK,Clove Field Backpack,,D.G,Field Backpack,New Canvas,,,3066.8023809523816,active,135.44510620347944,128.67285089330545,415383.37419317896,394614.20548351994
BSLT-PVT-LUNAR-DAYPACK,Pivot Lunar Daypack - Basalt,,D.G,Pivot Lunar Daypack,PIVOT COLLECTION,,,3229.7579245283023,active,126.44687499999999,120.12453124999999,408392.79656308965,387973.1567349352
SCRLT-WING-CITY-TOTE,Scarlet Wing City Tote,,D.G,Wing Tote,New-Category,,,2499.0,active,162.98783582854796,154.83844403712055,407306.60173554136,386941.27164876426
BSLT-PVT-ORBT-FNNY,Pivot Orbit Fanny - Basalt,,D.G,Pivot Fanny Pack,PIVOT COLLECTION,,,1692.0428205128203,active,238.83064224193805,226.88911012984113,404111.6735239372,383906.0898477403
ALL-BEGE-PEDAL-DAYPACK,All Beige Pedal Daypack,,D.G,Pedal Daypack,Fleet 2.0 Collection,,,1272.1921782178213,active,316.97269958235375,301.12406460323604,403250.1891172577,383087.6796613948
IVORT-NVY-CMUTE-MSG-LARGE,Ivory - Navy Commute Messenger Large,,D.G,Commute Messenger Large,Fleet 2.0 Collection,,,3307.657547169812,active,114.81414278656129,109.07343564723323,379765.8659098019,360777.57261431176
BSLT-PVT-MRDAN-CNVRTBL-BREFCASE,Pivot Meridian Convertible Briefpack - Basalt,,D.G,Pivot Convertible Briefcase,PIVOT COLLECTION,,,4711.495526315787,active,79.18559322033899,75.22631355932204,373082.56820628885,354428.4397959744
SLAT-STCK-PHN-AP-IPH17PROMAX,Slate Stack Phone Case Cover for iPhone 17 Pro Max,iPhone 17 Pro Max,M.A,Stack Phone Case,Stack Eco System,Continue,670.0,1686.0,Active,214.9027826086957,204.1576434782609,362326.09147826093,344209.7869043479
ELCTRC-BLU-TRCK-NYLN-AP-WATCHBND-42,Electric Blue Track Nylon Apple WatchBand (42/44/45/46/49mm),42 mm+,M.A,Track Nylon Watch Band,IP Watch band,Continue,700.0,2466.0,Active,143.77918978832952,136.59023029891304,354559.4820180206,336831.50791711954
STRD-3-0-CLR-MEGSAF-AP-IPH16PROMAX,DailyObjects Stride 3.0 Clear MagSafe Phone Case Cover For iPhone 16 Pro Max,iPhone 16 Pro Max,M.A,Generic-Stride 3.0 Case,Stride 3.0,Continue,255.0,970.0,Active,360.95321739130435,342.90555652173913,350124.62086956523,332618.38982608693
ALL-NVY-CMUTE-MSG-LARGE,All Navy Commute Messenger Large,,D.G,Commute Messenger Large,Fleet 2.0 Collection,,,3336.3294285714287,active,102.81777278428095,97.6768841450669,343033.96112036705,325882.26306434866
DESK-TRIO-BUNDLE,Desk Trio Bundle - Limited Edition,,D.G,Desk Trio Bundle,Desk Trio Bundle Tan,,,1958.1697037037047,active,174.21432279805907,165.50360665815612,341141.2088544169,324084.1484116961
CLVE-MRCH-CROSSBODY-BAG-LARG,Clove March Crossbody Bag Large,,D.G,March Large Crossbody,Fleet 2.0 Collection,,,1628.016554621849,active,209.34347900383372,198.87630505364203,340814.6494203728,323773.9169493541
TAN-LTHER-AP-ARPDPRO3,Tan Leatherite AirPods Pro 3 Case Cover,,M.A,New Leatherite,AirPods Case Cover,Under Discussion,377.0,1495.0,Active,224.19911726978123,212.98916140629214,335177.6803183229,318418.79630240676
SLATE-GREY-IDYL-DOB-TOTE-BAG,Slate Gray Idyll Tote,,D.G,Recess Tote Bag,New-Category,,,2716.871739130435,active,122.97036005434785,116.82184205163045,334094.6959823518,317389.96118323423
IVORT-NVY-CMUTE-MSG-MED,Ivory - Navy Commute Messenger Medium,,D.G,Commute Messenger Medium,Fleet 2.0 Collection,,,2999.271718750001,active,111.18889638061404,105.62945156158334,333485.7123534001,316811.42673573
CRBN-STCK-PHN-AP-IPH17PRO,Carbon Stack Phone Case Cover for iPhone 17 Pro,iPhone 17 Pro,M.A,Stack Phone Case,Stack Eco System,Continue,670.0,1681.0,Active,197.16808695652176,187.30968260869565,331439.5541739131,314867.5764652174
TAN-LTHER-AP-ARPDPRO2,Tan Leatherite AirPods Pro 2 Case Cover,,M.A,New Leatherite,AirPods Case Cover,Under Discussion,377.0,1440.0,Active,227.39615217391304,216.02634456521739,327450.4591304348,311077.936173913
CRBN-STCK-FLX-STND,Carbon Stack Flex Stand,,M.A,Stack Flex Stand,Stack Eco System,Continue,398.0,980.0,Active,332.161774405332,315.5536856850654,325518.5389172253,309242.61197136407
HAZE-WHT-BLK-DOM-ARPD4,Dome AirPods 4 Case Cover - Haze White,,M.A,Dome AirPod Case,AirPods Case Cover,Under Discussion,493.0,1502.0,Active,213.93802352092166,203.24112234487558,321334.91132842435,305268.1657620031
NVY-BLU-LTHER-AP-ARPDPRO3,Navy Blue Leatherite AirPods Pro 3 Case Cover,,M.A,New Leatherite,AirPods Case Cover,Under Discussion,377.0,1464.0,Active,215.56404477788283,204.78584253898867,315585.76155482046,299806.4734770794
BLK-WING-TOTE,Black Wing Tote,,D.G,Wing Tote,New-Category,,,1796.7051578947367,active,173.74580724427466,165.05851688206093,312169.988038373,296561.48863645433
MARSAL-TECH-CASE-BLUE,Marshal Tech Kit Organiser - Blue,,D.G,Marsal Tech Kit,Tech Kit Blue,,,1723.3626923076934,active,179.34891692294673,170.3814710767994,309083.2323307983,293629.07071425836
CRBN-STCK-PHN-AP-IPH17,Carbon Stack Phone Case Cover for iPhone 17,iPhone 17,M.A,Stack Phone Case,Stack Eco System,Continue,670.0,1472.0,Active,209.6866956521739,199.2023608695652,308658.816,293225.8752
NVY-BLU-LTHER-AP-ARPDPRO2,Navy Blue Leatherite AirPods Pro 2 Case Cover,,M.A,New Leatherite,AirPods Case Cover,Under Discussion,377.0,1406.0,Active,216.6190434782609,205.78809130434783,304566.3751304348,289338.0563739131
TANGRIN-STCK-PHN-WLET-STND,Tangerine Stack Phone Wallet Stand,,M.A,Stack Phone Wallet Stand,Stack Eco System,Continue,808.0,2930.0,Active,103.11353782511645,97.95786093386063,302122.6658275912,287016.53253621166
SPCE-BLUE-IDYL-DOB-TOTE-BAG,Space Blue Idyll Tote,,D.G,Recess Tote Bag,New-Category,,,2642.8467857142855,active,113.4413090329835,107.76924358133432,299807.9989450414,284817.5989977893
ARET-LAPTOP-STND-BLK,Arete Laptop Stand - Black,,D.G,Platform Arete,Stands,,,2620.4114035087723,active,112.6856655225019,107.0513822463768,295282.8029471393,280518.6627997823
INDGO-STCK-FLX-STND,Indigo Stack Flex Stand,,M.A,Stack Flex Stand,Stack Eco System,Continue,398.0,992.0,Active,294.70639156863496,279.9710719902032,292348.74043608585,277731.3034142816
POP-100W-TYPC-KVLR-COR-MGNT-CABL-BLK,POP 100W Type-C Kevlar Core Magnetic Charging Cable - Black,,M.A,POP Charging System,Wireless Charger,Continue,237.0,934.0,Active,310.39122696178634,294.871665613697,289905.40598230844,275410.135683193
ANLOG-MAX-RFID-MGSAF-CRD-WLET,Analog Max RFID MagSafe Card Wallet with Money Clip,,M.A,Generic Products,RFID Wallet,Under Discussion,887.0,2802.0,Active,103.11943577690792,97.96346398806251,288940.659046896,274493.6260945512
INDGO-STCK-SGNTUR-PHN-AP-IPH17PRO,Indigo Stack Signature Phone Case Cover for iPhone 17 Pro,iPhone 17 Pro,M.A,Stack Signature Phone Case,Stack Eco System,Continue,670.0,1868.0,Active,154.03487792476713,146.33313402852878,287737.151963465,273350.2943652918
WALNT-ELPS-LTHR-AP-WATCHBND-42,Walnut Ellipse Leather Apple WatchBand (42/44/45/46/49mm),42 mm+,M.A,Ellipse Leather Watch Band,IP Watch band,Continue,1005.0,2933.0,Active,97.57309617638364,92.69444136756445,286181.89108533325,271872.79653106653
KVLR-CORE-2IN1-CHRGNG-CABLE-100W,DailyObjects SURGE™ Kevlar Core 2-in-1 100W Apple Certified - MFi Charging Cable,,M.A,Surge Charging System,Wireless Charger,Continue,681.0,1664.0,Active,170.49384233846268,161.96915022153954,283701.7536512019,269516.6659686418
SLAT-STCK-SGNTUR-PHN-AP-IPH17PRO,Slate Stack Signature Phone Case Cover for iPhone 17 Pro,iPhone 17 Pro,M.A,Stack Signature Phone Case,Stack Eco System,Continue,670.0,1867.0,Active,149.18008695652173,141.72108260869564,278519.22234782606,264593.26123043476
KHKI-BGIE-MRCH-CROSSBODY-BAG-LARG,Khaki Beige March Crossbody Bag Large,,D.G,March Large Crossbody,Fleet 2.0 Collection,,,1560.8405102040824,active,176.73335814760688,167.89669024022652,275852.5849011915,262059.95565613193
BSLT-PVT-TRVL-SLNG,Pivot Travel Sling - Basalt,,D.G,Pivot Travel Sling Bag,PIVOT COLLECTION,,,1655.2253846153837,active,166.32030368403588,158.00428849983408,275297.5886347557,261532.7092030179
ALL-IVORY-PEDAL-DAYPACK,All Ivory Pedal Daypack,,D.G,Pedal Daypack,Fleet 2.0 Collection,,,1285.1373880597016,active,211.8235404356645,201.23236341388127,272222.3514850485,258611.23391079603
FORST-GRN-PEDAL-DAYPACK,Forest Green Pedal Daypack,,D.G,Pedal Daypack,Fleet 2.0 Collection,,,1306.592435897436,active,207.79956348288624,197.40958530874192,271509.3378295282,257933.8709380518
CRNL-LVE-STRA-SLEVE-MED,Cardinal Love Stria Laptop Sleeve - Medium,,D.G,Stria Laptop Sleeve - Medium,New-Category,,,1601.1914666666669,active,168.84819428759647,160.40578457321664,270358.2878553749,256840.37346260616
FRST-GRN-LOG-BIFLD-LEATHER-WLT,DailyObjects Forest Green Log Bi-Fold Leather Wallet,,D.G,Log Bi-Fold Leather Wallet,Log Bi-Fold Leather Wallet Forst green,End of life,,835.6372222222222,active,318.6953139055472,302.76054821026986,266313.6668472706,252997.9835049071
ALL-NVY-CMUTE-MSG-MED,All Navy Commute Messenger Medium,,D.G,Commute Messenger Medium,Fleet 2.0 Collection,,,3081.7199999999993,active,85.23551346751076,80.97373779413522,262671.9865630972,249538.38723494232
SLAT-STCK-PHN-AP-IPH17,Slate Stack Phone Case Cover for iPhone 17,iPhone 17,M.A,Stack Phone Case,Stack Eco System,Continue,670.0,1473.0,Active,176.30373913043476,167.488552173913,259695.4077391304,246710.63735217386
TURF-LETHER-DESK-MAT-BLK,Turf Vegan Leather Desk Mat (Black),,D.G,Desk Mat,Desk Mat Leather Black,,,922.4961176470591,active,280.76263880616995,266.72450686586143,259002.44427903532,246052.32206508354
POP-45W-TWN-PRT-GN-WAL-ADPTR-WHT,POP 45W Twin Port GaN Wall Adapter - White,,M.A,POP Charging System,Wireless Charger,Continue,824.0,2289.0,Active,112.30138339920948,106.686314229249,257057.8666007905,244204.97327075098
STRD-2-0-CLR-MEGSAF-AP-IPH17PRO,Stride 2.0 Clear MagSafe Phone Case Cover For iPhone 17 Pro,iPhone 17 Pro,M.A,Generic-Stride 3.0 Case,Stride 3.0,Continue,255.0,1072.0,Active,238.62192835149474,226.69083193392,255802.70719280237,243012.57183316225
INDGO-STCK-PHN-AP-IPH17,Indigo Stack Phone Case Cover for iPhone 17,iPhone 17,M.A,Stack Phone Case,Stack Eco System,Continue,670.0,1456.0,Active,175.26052173913044,166.4974956521739,255179.31965217393,242420.3536695652
BSLT-PVT-DUFLE,Pivot Duffle - Basalt,,D.G,Pivot Duffle,PIVOT COLLECTION,,,5357.27625,active,47.51942352484472,45.14345234860248,254574.6790633419,241845.94511017477
STRD-3-0-CLR-MEGSAF-AP-IPH15PROMAX,DailyObjects Stride 3.0 Clear MagSafe Phone Case Cover For iPhone 15 Pro Max,iPhone 15 Pro Max,M.A,Generic-Stride 3.0 Case,Stride 3.0,Continue,255.0,970.0,Active,259.7611304347826,246.77307391304348,251968.29652173913,239369.88169565218
BLK-ANCHR-SLICON-PHN-LNYARD,Black Anchor Silicone Phone Lanyard,,M.A,Silicone Products,New-Category,Under Discussion,264.0,1233.0,Active,202.40205163043478,192.28194904891305,249561.7296603261,237083.6431773098
CRBN-STCK-PHN-AP-IPH17PROMAX,Carbon Stack Phone Case Cover for iPhone 17 Pro Max,iPhone 17 Pro Max,M.A,Stack Phone Case,Stack Eco System,Continue,670.0,1685.0,Active,146.7037353739418,139.3685486052447,247195.79410509195,234836.00439983734
NOIR-LINK-STEL-AP-WATCHBND-42,Noir Link Steel Apple Watch Band (42/44/45/46/49mm),42 mm+,M.A,Link Steel Watch band,IP Watch band,Continue,2482.0,7931.0,Active,31.010034093977858,29.459532389278962,245940.5803993384,233643.55137937146
SLAT-STCK-SGNTUR-PHN-AP-IPH17PROMAX,Slate Stack Signature Phone Case Cover for iPhone 17 Pro Max,iPhone 17 Pro Max,M.A,Stack Signature Phone Case,Stack Eco System,Continue,670.0,1860.0,Active,131.44539130434785,124.87312173913045,244488.427826087,232264.00643478264
SPCE-BLUE-STRA-SLEVE-MED,Space Blue Stria Laptop Sleeve - Medium,,D.G,Stria Laptop Sleeve - Medium,Laptop Sleeve Designer 13-14,,,1403.988282828283,active,172.8742279880797,164.2305165886757,242713.39049824912,230577.72097333663
NEW-CORL-TRCK-NYLN-AP-WATCHBND-42,New Coral Track Nylon Apple WatchBand (42/44/45/46/49mm),42 mm+,M.A,Track Nylon Watch Band,IP Watch band,Continue,700.0,2492.0,Active,96.23562143276817,91.42384036112976,239819.1686104583,227828.21017993535
MARSAL-TECH-CASE-BLK,Marshal Tech Kit Organiser - Black,,D.G,Marsal Tech Kit,Tech Kit Black,,,1710.4693055555545,active,139.935009057971,132.93825860507243,239354.53776629787,227386.81087798296
MARSAL-MINI-TECH-CASE-BLUE,Marshal Mini Tech Kit Organiser - Blue,,D.G,Marsal Mini Tech Kit,Tech Kit Mini Blue,,,1027.1355357142859,active,230.32123434221737,218.80517262510648,236571.124422469,224742.56820134554
IVORY-CLVE-CMUTE-MSG-LARGE,Ivory - Clove Commute Messenger Large,,D.G,Commute Messenger Large,Fleet 2.0 Collection,,,3343.672631578947,active,68.37339920948615,64.95472924901185,228618.26366478045,217187.35048154145
INDGO-STCK-PHN-AP-IPH17PROMAX,Indigo Stack Phone Case Cover for iPhone 17 Pro Max,iPhone 17 Pro Max,M.A,Stack Phone Case,Stack Eco System,Continue,670.0,1680.0,Active,133.2776786285166,126.61379469709077,223906.50009590792,212711.1750911125
MIDNYT-BLUE-CIT-CMPT-MSG-BAG,Midnight Blue City Compact Fleet Messenger Bag,,D.G,Fleet Messenger Bag,Fleet Messenger Bag,,,2810.6969999999997,active,79.15089975845412,75.19335477053141,222469.1964983877,211345.73667346832
CLR-DOB-SS-ZFLD6,Clear Case For Samsung Galaxy Z Fold 6,Samsung Galaxy Z Fold 6,M.A,Generic-Clear Case,Generic Case,Under Discussion,480.0,906.0,Active,244.1128695652174,231.90722608695654,221166.25982608699,210107.94683478263
SURG-KVLR-CORE-TWN-TYPC-CBLE-140W,SURGE 140W Kevlar Core Twin Port Type-C Charging Cable,,M.A,Surge Charging System,Wireless Charger,Continue,574.0,1980.0,Active,111.66726955619536,106.0839060783856,221101.1937212668,210046.1340352035
INDGO-STCK-SGNTUR-PHN-AP-IPH17PROMAX,Indigo Stack Signature Phone Case Cover for iPhone 17 Pro Max,iPhone 17 Pro Max,M.A,Stack Signature Phone Case,Stack Eco System,Continue,670.0,1866.0,Active,117.8835652173913,111.98938695652173,219970.73269565214,208972.19606086955
CRBN-STCK-SGNTUR-PHN-SS-GLS26ULTRA,Carbon Stack Signature Phone Case Cover for Samsung Galaxy S26 Ultra,Samsung Galaxy S26 Ultra,M.A,Stack Phone Case,Stack Eco System,Continue,670.0,1799.0,Active,122.0564347826087,115.95361304347827,219579.52617391307,208600.5498652174
CNID-MAGSAF-QI2-2-WIRLES-CHRGR-ORNG,SURGE Conoid Qi2.2-Certified Magsafe-Compatible Wireless Charger - Cosmic Orange,,M.A,Surge Charging System,Wireless Charger,Continue,1692.0,4375.0,Active,50.14398444160273,47.636785219522594,219379.93193201197,208410.93533541134
NVYBLUE-GRY-LTHER-MGSAF-CRD-WLET,Navy Blue-Grey Leather MagSafe Card Wallet,,M.A,New Leatherite,AirPods Case Cover,Under Discussion,369.0,1248.0,Active,174.29021739130434,165.5757065217391,217514.19130434783,206638.4817391304
