Parent,Category,child_skus,base_units,base_gross,Oct_units,Oct_gross,Nov_units,Nov_gross,sep_hps_gross,event_dep_skus,avg_ASP,event_led
STRD-3-0-CHAL-BEHE-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-BIL-MATC-DOB-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-CATROSP--SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-CATROSP--AP-IPH14PRO,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-MEW-MEN-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-ME-TIME-DOB-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-MOO-MATC-DOB-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-MINI-CAMC-DOB-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-PREM-INDI-POST-AP-IPH13,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-PACE-HIT-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-MOTH-MYST-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-MYSO-PALPST-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-NO-CAP-AP-IPH15PRO,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-NO-CAP-AP-IPH14PRO,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-OFFL-DOB-AP-IPH14PRO,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-OVERSRS-AP-IPH14PRO,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-PURR-DRE-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-PUNE-SHA-WADP-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-PIXE-POP-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-PREM-INDI-POST-AP-IPH114PLS,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-QUEE-BABE-DOB-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-ROYA-PARA-DOB-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-ROS-MATC-DOB-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-RAJ-FAC-HAI-DOB-AP-IPH15PRO,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-TEST-DOB-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-THE-DRIF-AP-IPH13PROMAX,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-SYST-ERRO-DOB-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-ROYA-DECR-DOB-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-ROYA-PARA-DOB-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-RUCKU-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-SERI-RIZZ-AP-IPH16,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,599.0,0,579.1012799381093,
STRD-3-0-SASS-ME-DOB-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-SIESTA--SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-SLY-SLIT-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-SEVE-DOB-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-SEVE-DOB-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-STAR-NIGH-SS-GLS26PLS,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-STAY-OFFL-DOB-AP-IPH13PRO,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-SUT-WLL-SUTED-AP-IPH14PRO,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-STRE-BUST-DOB-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-THE-FALS-ANG-AP-IPH14PRO,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-THE-FALS-ANG-AP-IPH13PRO,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-THE-DRIF-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-T-12-VIDE-CASS-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-TBR-TOBE-RED-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-TECHNIC-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-TEL-MATC-DOB-AP-IPH115PLS,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-TEST-DOB-AP-IPH14PRO,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-THE-FALS-ANG-AP-IPH16PROMAX,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-THE-FALS-ANG-AP-IPH13,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-THE-OVER-AP-IPH15PLS,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-THE-LOUD-ONE-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-THE-LOUD-ONE-AP-IPH15PLS,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-THE-LOUD-ONE-AP-IPH14PLS,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-THE-LONE-AP-IPH13PRO,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-THE-FUND-DOB-AP-IPH15PRO,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-FORE-VIBE-DOB-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-GAME-OVER-DOB-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-GAME-OVER-DOB-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-GEMINI-DOB-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-CHRO-MIX-TAPE-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-COPI-DOB-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-THE-PINK-PARA-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-THE-STAKESS-GLS26PLS,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-JAIP-JAN-MANP-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-GOAT-AP-IPH115PLS,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-GOAT-SS-GLS26PLS,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-I-DONT-CARE-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-K3-MAYH-AP-IPH14PRO,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-K3-FULL-THRO-SS-GLS26PLS,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-K3-MAYH-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-K3-RACE-PRI-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-LOV-BIRD-MATC-AP-IPH16,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-K3-THE-DRI-SAG-AP-IPH115PLS,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-K3-THE-DRI-SAG-SS-GLS26PLS,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-KANP-CITY-TAG-AP-IPH16,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-KIXE-ARCA-1-0-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-LADA-DISGPOS-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-KRISHNA-DOB-SS-GLS26PLS,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-KRISHNA-DOB-AP-IPH13,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-MAIN-CHAR-ENE-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-LOVE-LIFE-MEOW-AP-IPH115PLS,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-LOVE-LIFE-MEOW-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-LEO-DOB-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-CHEN-AUT-RICP-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-CHAN-OPE-HANP-AP-IPH15PRO,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-CHAL-BEHE-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-MAIN-CHAR-ENE-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-WOOF-TRI-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-VIRGO-DOB-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-WALKM-BEAT-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-WAR-MECH-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-GLAM-NO-DAM-DOB-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-THE-SURV-AP-IPH14,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-CRUN-DOB-AP-IPH13,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-DAF-PNK-DOB-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-DARJ-TOY-TRAP-SS-GLS26PLS,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-DASH-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-DON-DA-DOB-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-DON-DA-DOB-SS-GLS26PLS,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-ELAS-DOB-AP-IPH13,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-FEEL-CUTE-DOB-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-FLIPSTER-DOB-AP-IPH115PLS,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-FLIPSTER-DOB-SS-GLS26PLS,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-WEAP-OF-CHO-DOB-SS-GLS26,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-VARA-CITY-TAG-AP-IPH16E,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-V-RED-DOB-AP-IPH13,Cases And Sleeves,1,0.5,449.5,1,579.1012799381093,1,481.6133236462602,0.0,0,579.1012799381093,
STRD-3-0-TEST-DOB-SS-GLS26,Cases And Sleeves,1,0.5,399.5,1,514.6851197670183,1,428.0412075565761,0.0,0,514.6851197670183,
STRD-3-0-MUMB-CITY-TAG-SS-GLS26,Cases And Sleeves,1,0.5,399.5,1,514.6851197670183,1,428.0412075565761,0.0,0,514.6851197670183,
STRD-3-0-ARIES-DOB-SS-GLS26PLS,Cases And Sleeves,1,0.5,399.5,1,514.6851197670183,1,428.0412075565761,0.0,0,514.6851197670183,
STRD-3-0-RAJ-FAC-HAI-DOB-SS-GLS26,Cases And Sleeves,1,0.5,399.5,1,514.6851197670183,1,428.0412075565761,0.0,0,514.6851197670183,
STRD-3-0-RAN-MATC-DOB-SS-GLS26,Cases And Sleeves,1,0.5,399.5,1,514.6851197670183,1,428.0412075565761,0.0,0,514.6851197670183,
STRD-3-0-KIXE-DISP-SS-GLS26PLS,Cases And Sleeves,1,0.5,399.5,1,514.6851197670183,1,428.0412075565761,0.0,0,514.6851197670183,
STRD-3-0-K3-RACE-PRI-SS-GLS26,Cases And Sleeves,1,0.5,399.5,1,514.6851197670183,1,428.0412075565761,0.0,0,514.6851197670183,
STRD-3-0-KOCH-CITY-TAG-SS-GLS26PLS,Cases And Sleeves,1,0.5,399.5,1,514.6851197670183,1,428.0412075565761,0.0,0,514.6851197670183,
STRD-3-0-THE-MERR-MOSA-SS-GLS26PLS,Cases And Sleeves,1,0.5,399.5,1,514.6851197670183,1,428.0412075565761,0.0,0,514.6851197670183,
STRD-3-0-VARA-CITY-TAG-SS-GLS26,Cases And Sleeves,1,0.5,399.5,1,514.6851197670183,1,428.0412075565761,0.0,0,514.6851197670183,
STRD-3-0-GOA-CITY-TAG-SS-GLS26,Cases And Sleeves,1,0.5,399.5,1,514.6851197670183,1,428.0412075565761,0.0,0,514.6851197670183,
STRD-3-0-WHIS-AWAY-SS-GLS26,Cases And Sleeves,1,0.5,399.5,1,514.6851197670183,1,428.0412075565761,0.0,0,514.6851197670183,
KVLR-CORE-USB-CHRGNG-CABLE-100W,Accessories,1,0.5,499.5,1,381.9038040973224,1,371.7012863998527,0.0,0,381.9038040973224,
